entry_id,parl_id,source_id,details,start_date,end_date,amount,source_pdf,source_pagenum
P33_BACK_Chris_23_13,BACK_Chris,P33_BACK_Chris,"Albany 10 Apr to 11 Apr 13",2013-04-10,2013-04-11,-122.86,P33_BACK_Chris.pdf,23
P33_BACK_Chris_23_14,BACK_Chris,P33_BACK_Chris,"Esperance 2 May to 3 May 13",2013-05-02,2013-05-03,-150.00,P33_BACK_Chris.pdf,23
P33_BISHOP_Bronwyn_15_20,BISHOP_Bronwyn,P33_BISHOP_Bronwyn,"Taxi 9 Jul 13",2013-07-09,0000-00-00,198.81,P33_BISHOP_Bronwyn.pdf,15
P33_BISHOP_Bronwyn_15_21,BISHOP_Bronwyn,P33_BISHOP_Bronwyn,"Taxi 11 Jul 13",2013-07-11,0000-00-00,168.31,P33_BISHOP_Bronwyn.pdf,15
P33_BISHOP_Bronwyn_15_22,BISHOP_Bronwyn,P33_BISHOP_Bronwyn,"Taxi 13 Jul 13",2013-07-13,0000-00-00,168.31,P33_BISHOP_Bronwyn.pdf,15
P33_BISHOP_Bronwyn_15_23,BISHOP_Bronwyn,P33_BISHOP_Bronwyn,"Taxi 14 Jul 13",2013-07-14,0000-00-00,168.31,P33_BISHOP_Bronwyn.pdf,15
P33_BISHOP_Bronwyn_15_24,BISHOP_Bronwyn,P33_BISHOP_Bronwyn,"Taxi 16 Jul 13",2013-07-16,0000-00-00,225.07,P33_BISHOP_Bronwyn.pdf,15
P33_BISHOP_Bronwyn_15_25,BISHOP_Bronwyn,P33_BISHOP_Bronwyn,"Taxi 23 Jul 13",2013-07-23,0000-00-00,246.55,P33_BISHOP_Bronwyn.pdf,15
P33_BISHOP_Bronwyn_15_26,BISHOP_Bronwyn,P33_BISHOP_Bronwyn,"Taxi 23 Jul 13",2013-07-23,0000-00-00,135.70,P33_BISHOP_Bronwyn.pdf,15
P33_BISHOP_Bronwyn_15_27,BISHOP_Bronwyn,P33_BISHOP_Bronwyn,"Taxi 31 Jul 13",2013-07-31,0000-00-00,194.89,P33_BISHOP_Bronwyn.pdf,15
P33_BISHOP_Bronwyn_15_28,BISHOP_Bronwyn,P33_BISHOP_Bronwyn,"Taxi 13 Aug 13",2013-08-13,0000-00-00,168.31,P33_BISHOP_Bronwyn.pdf,15
P33_BISHOP_Bronwyn_15_29,BISHOP_Bronwyn,P33_BISHOP_Bronwyn,"Taxi 19 Aug 13",2013-08-19,0000-00-00,168.31,P33_BISHOP_Bronwyn.pdf,15
P33_BISHOP_Bronwyn_15_30,BISHOP_Bronwyn,P33_BISHOP_Bronwyn,"Taxi 22 Aug 13",2013-08-22,0000-00-00,134.44,P33_BISHOP_Bronwyn.pdf,15
P33_BISHOP_Bronwyn_15_31,BISHOP_Bronwyn,P33_BISHOP_Bronwyn,"Taxi 23 Aug 13",2013-08-23,0000-00-00,274.47,P33_BISHOP_Bronwyn.pdf,15
P33_BISHOP_Bronwyn_15_32,BISHOP_Bronwyn,P33_BISHOP_Bronwyn,"Taxi 27 Aug 13",2013-08-27,0000-00-00,169.42,P33_BISHOP_Bronwyn.pdf,15
P33_BISHOP_Bronwyn_15_33,BISHOP_Bronwyn,P33_BISHOP_Bronwyn,"Taxi 4 Sep 13",2013-09-04,0000-00-00,762.27,P33_BISHOP_Bronwyn.pdf,15
P33_BISHOP_Bronwyn_15_34,BISHOP_Bronwyn,P33_BISHOP_Bronwyn,"Taxi 9 Sep 13",2013-09-09,0000-00-00,168.31,P33_BISHOP_Bronwyn.pdf,15
