entry_id,parl_id,source_id,details,type,start_date,end_date,amount,source_pdf,source_pagenum
P33_ABBOTT_Tony_12_3,ABBOTT_Tony,P33_ABBOTT_Tony,"Lease 1 Jul to 31 Jul 13",Lease,2013-07-01,2013-07-31,994.85,P33_ABBOTT_Tony.pdf,12
P33_ABBOTT_Tony_12_4,ABBOTT_Tony,P33_ABBOTT_Tony,"Fuel 16 Jul 13",Fuel,2013-07-16,0000-00-00,82.38,P33_ABBOTT_Tony.pdf,12
P33_ABBOTT_Tony_12_5,ABBOTT_Tony,P33_ABBOTT_Tony,"Fuel 31 Jul to 15 Sep 13",Fuel,2013-07-31,2013-09-15,438.33,P33_ABBOTT_Tony.pdf,12
P33_ABBOTT_Tony_12_6,ABBOTT_Tony,P33_ABBOTT_Tony,"Lease 1 Aug to 31 Aug 13",Lease,2013-08-01,2013-08-31,994.85,P33_ABBOTT_Tony.pdf,12
P33_ABBOTT_Tony_12_7,ABBOTT_Tony,P33_ABBOTT_Tony,"Lease 1 Sep to 30 Sep 13",Lease,2013-09-01,2013-09-30,994.85,P33_ABBOTT_Tony.pdf,12
P33_ABBOTT_Tony_12_8,ABBOTT_Tony,P33_ABBOTT_Tony,"Fuel 16 Sep to 26 Sep 13",Fuel,2013-09-16,2013-09-26,185.52,P33_ABBOTT_Tony.pdf,12
P33_ABBOTT_Tony_12_9,ABBOTT_Tony,P33_ABBOTT_Tony,"Lease 1 Oct to 31 Oct 13",Lease,2013-10-01,2013-10-31,994.85,P33_ABBOTT_Tony.pdf,12
P33_ABBOTT_Tony_12_10,ABBOTT_Tony,P33_ABBOTT_Tony,"Fuel 11 Oct to 23 Oct 13",Fuel,2013-10-11,2013-10-23,187.54,P33_ABBOTT_Tony.pdf,12
P33_ABBOTT_Tony_12_11,ABBOTT_Tony,P33_ABBOTT_Tony,"Lease 1 Nov to 30 Nov 13",Lease,2013-11-01,2013-11-30,994.85,P33_ABBOTT_Tony.pdf,12
P33_ABBOTT_Tony_12_12,ABBOTT_Tony,P33_ABBOTT_Tony,"Lease 1 Dec to 31 Dec 13",Lease,2013-12-01,2013-12-31,994.85,P33_ABBOTT_Tony.pdf,12
P33_ABBOTT_Tony_40_3,ABBOTT_Tony,P33_ABBOTT_Tony,"Fuel 8 Apr to 29 Apr 13",Fuel,2013-04-08,2013-04-29,248.43,P33_ABBOTT_Tony.pdf,40
P33_ABBOTT_Tony_40_4,ABBOTT_Tony,P33_ABBOTT_Tony,"Fuel 12 May to 26 May 13",Fuel,2013-05-12,2013-05-26,248.05,P33_ABBOTT_Tony.pdf,40
P33_ABBOTT_Tony_40_5,ABBOTT_Tony,P33_ABBOTT_Tony,"Lease 1 Jun to 30 Jun 13",Lease,2013-06-01,2013-06-30,994.85,P33_ABBOTT_Tony.pdf,40
P33_ABBOTT_Tony_40_6,ABBOTT_Tony,P33_ABBOTT_Tony,"Fuel 1 Jun to 22 Jun 13",Fuel,2013-06-01,2013-06-22,325.93,P33_ABBOTT_Tony.pdf,40
P33_ABETZ_Eric_11_3,ABETZ_Eric,P33_ABETZ_Eric,"Lease 1 Jul to 31 Jul 13",Lease,2013-07-01,2013-07-31,994.04,P33_ABETZ_Eric.pdf,11
P33_ABETZ_Eric_11_4,ABETZ_Eric,P33_ABETZ_Eric,"Lease 1 Jul to 31 Jul 13",Lease,2013-07-01,2013-07-31,1129.05,P33_ABETZ_Eric.pdf,11
P33_ABETZ_Eric_11_5,ABETZ_Eric,P33_ABETZ_Eric,"Fuel 11 Jul 13",Fuel,2013-07-11,0000-00-00,85.15,P33_ABETZ_Eric.pdf,11
P33_ABETZ_Eric_11_6,ABETZ_Eric,P33_ABETZ_Eric,"Fuel 13 Jul 13",Fuel,2013-07-13,0000-00-00,175.13,P33_ABETZ_Eric.pdf,11
P33_ABETZ_Eric_11_7,ABETZ_Eric,P33_ABETZ_Eric,"Fuel 16 Jul to 22 Jul 13",Fuel,2013-07-16,2013-07-22,250.27,P33_ABETZ_Eric.pdf,11
P33_ABETZ_Eric_11_8,ABETZ_Eric,P33_ABETZ_Eric,"Fuel 24 Jul to 3 Aug 13",Fuel,2013-07-24,2013-08-03,164.88,P33_ABETZ_Eric.pdf,11
P33_ABETZ_Eric_11_9,ABETZ_Eric,P33_ABETZ_Eric,"Lease 1 Aug to 31 Aug 13",Lease,2013-08-01,2013-08-31,994.04,P33_ABETZ_Eric.pdf,11
P33_ABETZ_Eric_11_10,ABETZ_Eric,P33_ABETZ_Eric,"Lease 1 Aug to 31 Aug 13",Lease,2013-08-01,2013-08-31,1129.05,P33_ABETZ_Eric.pdf,11
P33_ABETZ_Eric_11_11,ABETZ_Eric,P33_ABETZ_Eric,"Fuel 2 Aug to 24 Aug 13",Fuel,2013-08-02,2013-08-24,310.09,P33_ABETZ_Eric.pdf,11
P33_ABETZ_Eric_11_12,ABETZ_Eric,P33_ABETZ_Eric,"Fuel 6 Aug to 11 Aug 13",Fuel,2013-08-06,2013-08-11,333.60,P33_ABETZ_Eric.pdf,11
