entry_id,parl_id,source_id,details,origin,destination,date,amount,balance_of_payment,source_pdf,source_pagenum
P33_ALEXANDER_John_6_3,ALEXANDER_John,P33_ALEXANDER_John,"Sydney to Canberra - 24 Oct 13",Sydney,Canberra,2013-10-24,216.60,,P33_ALEXANDER_John.pdf,6
P33_ALEXANDER_John_6_4,ALEXANDER_John,P33_ALEXANDER_John,"Canberra to Sydney - 24 Oct 13",Canberra,Sydney,2013-10-24,216.60,,P33_ALEXANDER_John.pdf,6
P33_ALEXANDER_John_6_5,ALEXANDER_John,P33_ALEXANDER_John,"Sydney to Canberra - 11 Nov 13",Sydney,Canberra,2013-11-11,216.60,,P33_ALEXANDER_John.pdf,6
P33_ALEXANDER_John_6_6,ALEXANDER_John,P33_ALEXANDER_John,"Canberra to Sydney - 14 Nov 13",Canberra,Sydney,2013-11-14,216.60,,P33_ALEXANDER_John.pdf,6
P33_ALEXANDER_John_6_7,ALEXANDER_John,P33_ALEXANDER_John,"Sydney to Canberra - 17 Nov 13",Sydney,Canberra,2013-11-17,216.60,,P33_ALEXANDER_John.pdf,6
P33_ALEXANDER_John_6_8,ALEXANDER_John,P33_ALEXANDER_John,"Canberra to Sydney - 21 Nov 13",Canberra,Sydney,2013-11-21,216.60,,P33_ALEXANDER_John.pdf,6
P33_ALEXANDER_John_6_9,ALEXANDER_John,P33_ALEXANDER_John,"Sydney to Canberra - 1 Dec 13",Sydney,Canberra,2013-12-01,216.60,,P33_ALEXANDER_John.pdf,6
P33_ALEXANDER_John_6_10,ALEXANDER_John,P33_ALEXANDER_John,"Canberra to Sydney - 5 Dec 13",Canberra,Sydney,2013-12-05,216.60,,P33_ALEXANDER_John.pdf,6
P33_ALEXANDER_John_6_11,ALEXANDER_John,P33_ALEXANDER_John,"Sydney to Canberra - 8 Dec 13",Sydney,Canberra,2013-12-08,216.60,,P33_ALEXANDER_John.pdf,6
P33_ALEXANDER_John_6_12,ALEXANDER_John,P33_ALEXANDER_John,"Canberra to Sydney - 12 Dec 13",Canberra,Sydney,2013-12-12,216.60,,P33_ALEXANDER_John.pdf,6
P33_ALEXANDER_John_16_3,ALEXANDER_John,P33_ALEXANDER_John,"Sydney to Canberra - 26 May 13",Sydney,Canberra,2013-05-26,116.60,,P33_ALEXANDER_John.pdf,16
P33_ALEXANDER_John_16_4,ALEXANDER_John,P33_ALEXANDER_John,"Canberra to Sydney - 30 May 13",Canberra,Sydney,2013-05-30,116.60,,P33_ALEXANDER_John.pdf,16
P33_ALEXANDER_John_16_5,ALEXANDER_John,P33_ALEXANDER_John,"Sydney to Canberra - 2 Jun 13",Sydney,Canberra,2013-06-02,116.60,,P33_ALEXANDER_John.pdf,16
P33_ALEXANDER_John_16_6,ALEXANDER_John,P33_ALEXANDER_John,"Canberra to Sydney - 6 Jun 13",Canberra,Sydney,2013-06-06,116.60,,P33_ALEXANDER_John.pdf,16
P33_ALEXANDER_John_16_7,ALEXANDER_John,P33_ALEXANDER_John,"Sydney to Canberra - 16 Jun 13",Sydney,Canberra,2013-06-16,116.60,,P33_ALEXANDER_John.pdf,16
P33_ALEXANDER_John_16_8,ALEXANDER_John,P33_ALEXANDER_John,"Canberra to Sydney - 20 Jun 13",Canberra,Sydney,2013-06-20,116.60,,P33_ALEXANDER_John.pdf,16
P33_ALEXANDER_John_16_9,ALEXANDER_John,P33_ALEXANDER_John,"Sydney to Canberra - 23 Jun 13",Sydney,Canberra,2013-06-23,116.60,,P33_ALEXANDER_John.pdf,16
P33_ALEXANDER_John_16_10,ALEXANDER_John,P33_ALEXANDER_John,"Canberra to Sydney - 28 Jun 13",Canberra,Sydney,2013-06-28,116.60,,P33_ALEXANDER_John.pdf,16
P33_BROUGH_Mal_7_10,BROUGH_Mal,P33_BROUGH_Mal,"Sunshine Coast to Maitland - 13 Oct 13","Sunshine Coast",Maitland,2013-10-13,665.25,,P33_BROUGH_Mal.pdf,7
P33_BROUGH_Mal_7_11,BROUGH_Mal,P33_BROUGH_Mal,"Maitland to Canberra - 14 Oct 13",Maitland,Canberra,2013-10-14,333.75,,P33_BROUGH_Mal.pdf,7
