entry_id,parl_id,source_id,details,start_date,end_date,origin,destination,amount,superscript,adjustment,notes,linked_entry,source_pdf,source_pagenum
P33_BACK_Chris_9_3,BACK_Chris,P33_BACK_Chris,"Perth to Merredin 11 Jul 13",2013-07-11,0000-00-00,Perth,Merredin,7310.13,,,,,P33_BACK_Chris.pdf,9
P33_BACK_Chris_9_4,BACK_Chris,P33_BACK_Chris,"Merredin to Kalgoorlie 11 Jul 13",2013-07-11,0000-00-00,Merredin,Kalgoorlie,0.00,,,,P33_BACK_Chris_9_3,P33_BACK_Chris.pdf,9
P33_BACK_Chris_9_5,BACK_Chris,P33_BACK_Chris,"Kalgoorlie to Albany 11 Jul 13",2013-07-11,0000-00-00,Kalgoorlie,Albany,0.00,,,,P33_BACK_Chris_9_3,P33_BACK_Chris.pdf,9
P33_BACK_Chris_9_6,BACK_Chris,P33_BACK_Chris,"Albany to Narrogin 12 Jul 13",2013-07-12,0000-00-00,Albany,Narrogin,0.00,,,,P33_BACK_Chris_9_3,P33_BACK_Chris.pdf,9
P33_BACK_Chris_9_7,BACK_Chris,P33_BACK_Chris,"Narrogin to Perth 12 Jul 13",2013-07-12,0000-00-00,Narrogin,Perth,0.00,,,,P33_BACK_Chris_9_3,P33_BACK_Chris.pdf,9
P33_BACK_Chris_9_8,BACK_Chris,P33_BACK_Chris,"Perth to Merredin 11 Jul 13",2013-07-11,0000-00-00,Perth,Merredin,-835.45,,Y,,,P33_BACK_Chris.pdf,9
P33_BACK_Chris_9_9,BACK_Chris,P33_BACK_Chris,"Merredin to Kalgoorlie 11 Jul 13",2013-07-11,0000-00-00,Merredin,Kalgoorlie,0.00,,Y,,P33_BACK_Chris_9_8,P33_BACK_Chris.pdf,9
P33_BACK_Chris_9_10,BACK_Chris,P33_BACK_Chris,"Kalgoorlie to Albany 11 Jul 13",2013-07-11,0000-00-00,Kalgoorlie,Albany,0.00,,Y,,P33_BACK_Chris_9_8,P33_BACK_Chris.pdf,9
P33_BACK_Chris_9_11,BACK_Chris,P33_BACK_Chris,"Albany to Narrogin 12 Jul 13",2013-07-12,0000-00-00,Albany,Narrogin,0.00,,Y,,P33_BACK_Chris_9_8,P33_BACK_Chris.pdf,9
P33_BACK_Chris_9_12,BACK_Chris,P33_BACK_Chris,"Narrogin to Perth 12 Jul 13",2013-07-12,0000-00-00,Narrogin,Perth,0.00,,Y,,P33_BACK_Chris_9_8,P33_BACK_Chris.pdf,9
P33_BACK_Chris_9_13,BACK_Chris,P33_BACK_Chris,"Kalgoorlie to Southern Cross 31 Aug 13",2013-08-31,0000-00-00,Kalgoorlie,"Southern Cross",4727.27,,,,,P33_BACK_Chris.pdf,9
P33_BACK_Chris_9_14,BACK_Chris,P33_BACK_Chris,"Southern Cross to Albany 31 Aug 13",2013-08-31,0000-00-00,"Southern Cross",Albany,0.00,,,,P33_BACK_Chris_9_13,P33_BACK_Chris.pdf,9
P33_BACK_Chris_22_3,BACK_Chris,P33_BACK_Chris,"Perth to Busselton 22 Jun 13",2013-06-22,0000-00-00,Perth,Busselton,895.00,,,,,P33_BACK_Chris.pdf,22
P33_BACK_Chris_22_4,BACK_Chris,P33_BACK_Chris,"Busselton to Perth 22 Jun 13",2013-06-22,0000-00-00,Busselton,Perth,0.00,,,,P33_BACK_Chris_22_3,P33_BACK_Chris.pdf,22
P33_BACK_Chris_22_5,BACK_Chris,P33_BACK_Chris,"Kalgoorlie 9 Apr to 10 Apr 13",2013-04-09,2013-04-10,Kalgoorlie,,102.14,,,,,P33_BACK_Chris.pdf,22
P33_BACK_Chris_22_6,BACK_Chris,P33_BACK_Chris,"Albany 10 Apr to 11 Apr 13",2013-04-10,2013-04-11,Albany,,122.86,,,,,P33_BACK_Chris.pdf,22
P33_BACK_Chris_22_7,BACK_Chris,P33_BACK_Chris,"Perth to Esperance 18 Apr 13",2013-04-18,0000-00-00,Perth,Esperance,3150.00,,,,,P33_BACK_Chris.pdf,22
P33_BACK_Chris_22_8,BACK_Chris,P33_BACK_Chris,"Esperance 2 May to 3 May 13",2013-05-02,2013-05-03,Esperance,,150.00,,,,,P33_BACK_Chris.pdf,22
P33_BIRMINGHAM_Simon_26_3,BIRMINGHAM_Simon,P33_BIRMINGHAM_Simon,"Adelaide to Port Augusta 30 Jun 13",2013-06-30,0000-00-00,Adelaide,"Port Augusta",3707.00,,,,,P33_BIRMINGHAM_Simon.pdf,26
P33_BIRMINGHAM_Simon_26_4,BIRMINGHAM_Simon,P33_BIRMINGHAM_Simon,"Port Augusta to Adelaide 30 Jun 13",2013-06-30,0000-00-00,"Port Augusta",Adelaide,0.00,,,,P33_BIRMINGHAM_Simon_26_3,P33_BIRMINGHAM_Simon.pdf,26
P33_BOSWELL_Ronald_7_3,BOSWELL_Ronald,P33_BOSWELL_Ronald,"Brisbane to Hervey Bay 11 Aug 13",2013-08-11,0000-00-00,Brisbane,"Hervey Bay",1800.00,,,,,P33_BOSWELL_Ronald.pdf,7
P33_BOSWELL_Ronald_7_4,BOSWELL_Ronald,P33_BOSWELL_Ronald,"Hervey Bay to Brisbane 11 Aug 13",2013-08-11,0000-00-00,"Hervey Bay",Brisbane,0.00,,,,P33_BOSWELL_Ronald_7_3,P33_BOSWELL_Ronald.pdf,7
P33_BOYCE_Sue_22_3,BOYCE_Sue,P33_BOYCE_Sue,"Rockhampton 30 Jun to 1 Jul 13",2013-06-30,2013-07-01,Rockhampton,,167.79,,,,,P33_BOYCE_Sue.pdf,22
P33_BROAD_Andrew_7_3,BROAD_Andrew,P33_BROAD_Andrew,"Mildura to Swan Hill 4 Oct 13",2013-10-04,0000-00-00,Mildura,"Swan Hill",474.55,,,,,P33_BROAD_Andrew.pdf,7
P33_BROAD_Andrew_7_4,BROAD_Andrew,P33_BROAD_Andrew,"Swan Hill to Mildura 4 Oct 13",2013-10-04,0000-00-00,"Swan Hill",Mildura,0.00,,,,P33_BROAD_Andrew_7_3,P33_BROAD_Andrew.pdf,7
P33_BROAD_Andrew_7_5,BROAD_Andrew,P33_BROAD_Andrew,"Pinnaroo to Mildura 23 Oct 13",2013-10-23,0000-00-00,Pinnaroo,Mildura,602.73,,,,,P33_BROAD_Andrew.pdf,7
P33_BROAD_Andrew_7_6,BROAD_Andrew,P33_BROAD_Andrew,"Mildura to Horsham 4 Nov 13",2013-11-04,0000-00-00,Mildura,Horsham,1047.27,,,,,P33_BROAD_Andrew.pdf,7
P33_BROAD_Andrew_7_7,BROAD_Andrew,P33_BROAD_Andrew,"Horsham to Ouyen 5 Nov 13",2013-11-05,0000-00-00,Horsham,Ouyen,0.00,,,,P33_BROAD_Andrew_7_6,P33_BROAD_Andrew.pdf,7
P33_BROAD_Andrew_7_8,BROAD_Andrew,P33_BROAD_Andrew,"Ouyen to Mildura 5 Nov 13",2013-11-05,0000-00-00,Ouyen,Mildura,0.00,,,,P33_BROAD_Andrew_7_6,P33_BROAD_Andrew.pdf,7
P34_ABETZ_Eric_30_9,ABETZ_Eric,P34_ABETZ_Eric,"Hobart to Launceston 27 Sep 13",2013-09-27,0000-00-00,Hobart,Launceston,1727.27,,,,,P34_ABETZ_Eric.pdf,30
P34_ABETZ_Eric_30_10,ABETZ_Eric,P34_ABETZ_Eric,"Launceston to Hobart 27 Sep 13",2013-09-27,0000-00-00,Launceston,Hobart,0.00,,,,P34_ABETZ_Eric_30_9,P34_ABETZ_Eric.pdf,30
P33_CHESTER_Darren_8_3,CHESTER_Darren,P33_CHESTER_Darren,"Latrobe Valley to Bairnsdale 22 Jul 13",2013-07-22,0000-00-00,"Latrobe Valley",Bairnsdale,1386.00,,,,,P33_CHESTER_Darren.pdf,8
