entry_id,parl_id,source_id,details,start_date,end_date,origin,destination,amount,superscript,adjustment,notes,linked_entry,source_pdf,source_pagenum
P33_ABETZ_Eric_32_3,ABETZ_Eric,P33_ABETZ_Eric,"King Island 7 Jun 13",2013-06-07,0000-00-00,"King Island",,104.36,,,,,P33_ABETZ_Eric.pdf,32
P33_ABETZ_Eric_32_4,ABETZ_Eric,P33_ABETZ_Eric,"Melbourne to King Island 7 Jun 13",2013-06-07,0000-00-00,Melbourne,"King Island",5818.18,,,,,P33_ABETZ_Eric.pdf,32
P33_ABETZ_Eric_32_5,ABETZ_Eric,P33_ABETZ_Eric,"King Island to Hobart 7 Jun 13",2013-06-07,0000-00-00,"King Island",Hobart,0.00,,,,P33_ABETZ_Eric_32_4,P33_ABETZ_Eric.pdf,32
P33_BURKE_Tony_29_3,BURKE_Tony,P33_BURKE_Tony,"Cairns to Lockhart River 27 Feb 13",2013-02-27,0000-00-00,Cairns,"Lockhart River",-1405.46,,Y,,,P33_BURKE_Tony.pdf,29
P33_BURKE_Tony_29_4,BURKE_Tony,P33_BURKE_Tony,"Lockhart River to Weipa 27 Feb 13",2013-02-27,0000-00-00,"Lockhart River",Weipa,0.00,,Y,,P33_BURKE_Tony_29_3,P33_BURKE_Tony.pdf,29
P33_BURKE_Tony_29_5,BURKE_Tony,P33_BURKE_Tony,"Weipa to Laura 28 Feb 13",2013-02-28,0000-00-00,Weipa,Laura,0.00,,Y,,P33_BURKE_Tony_29_3,P33_BURKE_Tony.pdf,29
P33_BURKE_Tony_29_6,BURKE_Tony,P33_BURKE_Tony,"Laura 28 Feb 13",2013-02-28,0000-00-00,Laura,,0.00,,Y,,P33_BURKE_Tony_29_3,P33_BURKE_Tony.pdf,29
P33_BURKE_Tony_29_7,BURKE_Tony,P33_BURKE_Tony,"Laura to Cairns 28 Feb 13",2013-02-28,0000-00-00,Laura,Cairns,0.00,,Y,,P33_BURKE_Tony_29_3,P33_BURKE_Tony.pdf,29
P34_ABETZ_Eric_30_3,ABETZ_Eric,P34_ABETZ_Eric,"Cambridge to Devonport 17 Dec 13",2013-12-17,0000-00-00,Cambridge,Devonport,2000.00,,,,,P34_ABETZ_Eric.pdf,30
P34_ABETZ_Eric_30_4,ABETZ_Eric,P34_ABETZ_Eric,"Devonport to Cambridge 17 Dec 13",2013-12-17,0000-00-00,Devonport,Cambridge,0.00,,,,P34_ABETZ_Eric_30_3,P34_ABETZ_Eric.pdf,30
P34_ABETZ_Eric_30_5,ABETZ_Eric,P34_ABETZ_Eric,"Devonport 17 Dec 13",2013-12-17,0000-00-00,Devonport,,64.69,,,,,P34_ABETZ_Eric.pdf,30
P35_ABETZ_Eric_10_3,ABETZ_Eric,P35_ABETZ_Eric,"Melbourne Essendon Airport to Nhill 15 Oct 14",2014-10-15,0000-00-00,"Melbourne Essendon Airport",Nhill,2681.82,,,,,P35_ABETZ_Eric.pdf,10
P35_ABETZ_Eric_10_4,ABETZ_Eric,P35_ABETZ_Eric,"Nhill to Melbourne Essendon Airport 15 Oct 14",2014-10-15,0000-00-00,Nhill,"Melbourne Essendon Airport",0.00,,,,P35_ABETZ_Eric_10_3,P35_ABETZ_Eric.pdf,10
P35_ABETZ_Eric_10_5,ABETZ_Eric,P35_ABETZ_Eric,"Cambridge to Canberra 14 Nov 14",2014-11-14,0000-00-00,Cambridge,Canberra,7018.18,,,,,P35_ABETZ_Eric.pdf,10
P35_ABETZ_Eric_10_6,ABETZ_Eric,P35_ABETZ_Eric,"Canberra to Cambridge 14 Nov 14",2014-11-14,0000-00-00,Canberra,Cambridge,0.00,,,,P35_ABETZ_Eric_10_5,P35_ABETZ_Eric.pdf,10
P35_ABETZ_Eric_29_3,ABETZ_Eric,P35_ABETZ_Eric,"Devonport 6 Jun 14",2014-06-06,0000-00-00,Devonport,,116.50,,,,,P35_ABETZ_Eric.pdf,29
P35_ABETZ_Eric_29_4,ABETZ_Eric,P35_ABETZ_Eric,"Cambridge to Devonport 6 Jun 14",2014-06-06,0000-00-00,Cambridge,Devonport,2272.73,,,,,P35_ABETZ_Eric.pdf,29
P35_ABETZ_Eric_29_5,ABETZ_Eric,P35_ABETZ_Eric,"Devonport to Cambridge 6 Jun 14",2014-06-06,0000-00-00,Devonport,Cambridge,0.00,,,,P35_ABETZ_Eric_29_4,P35_ABETZ_Eric.pdf,29
P35_BIRMINGHAM_Simon_10_3,BIRMINGHAM_Simon,P35_BIRMINGHAM_Simon,"Wagga Wagga to Canberra 15 Oct 14",2014-10-15,0000-00-00,"Wagga Wagga",Canberra,307.75,,,,,P35_BIRMINGHAM_Simon.pdf,10
P35_BIRMINGHAM_Simon_27_3,BIRMINGHAM_Simon,P35_BIRMINGHAM_Simon,"Darwin to Kakadu 19 May 14",2014-05-19,0000-00-00,Darwin,Kakadu,2600.00,,,,,P35_BIRMINGHAM_Simon.pdf,27
P35_BIRMINGHAM_Simon_27_4,BIRMINGHAM_Simon,P35_BIRMINGHAM_Simon,"Kakadu 20 May 14",2014-05-20,0000-00-00,Kakadu,,3545.45,,,,,P35_BIRMINGHAM_Simon.pdf,27
P35_BISHOP_Bronwyn_10_3,BISHOP_Bronwyn,P35_BISHOP_Bronwyn,"Melbourne to Geelong 5 Nov 14",2014-11-05,0000-00-00,Melbourne,Geelong,5227.27,,,,,P35_BISHOP_Bronwyn.pdf,10
P35_BISHOP_Bronwyn_10_4,BISHOP_Bronwyn,P35_BISHOP_Bronwyn,"Geelong to Melbourne 5 Nov 14",2014-11-05,0000-00-00,Geelong,Melbourne,0.00,,,,P35_BISHOP_Bronwyn_10_3,P35_BISHOP_Bronwyn.pdf,10
