entry_id,parl_id,source_id,details,start_date,end_date,location,num_nights,rate,spouse,amount,source_pdf,source_pagenum
P33_ABBOTT_Tony_5_4,ABBOTT_Tony,P33_ABBOTT_Tony,"Leader of the Opposition - Official Business",2013-07-01,2013-07-01,Melbourne,1,429.00,0.00,429.00,P33_ABBOTT_Tony.pdf,5
P33_ABBOTT_Tony_5_5,ABBOTT_Tony,P33_ABBOTT_Tony,"Leader of the Opposition - Official Business",2013-07-03,2013-07-03,Perth,1,473.00,0.00,473.00,P33_ABBOTT_Tony.pdf,5
P33_ABBOTT_Tony_5_6,ABBOTT_Tony,P33_ABBOTT_Tony,"Leader of the Opposition - Official Business",2013-07-09,2013-07-10,Melbourne,2,429.00,0.00,858.00,P33_ABBOTT_Tony.pdf,5
P33_ABBOTT_Tony_5_7,ABBOTT_Tony,P33_ABBOTT_Tony,"Leader of the Opposition - Official Business",2013-07-11,2013-07-11,Brisbane,1,400.00,0.00,400.00,P33_ABBOTT_Tony.pdf,5
P33_ABBOTT_Tony_5_8,ABBOTT_Tony,P33_ABBOTT_Tony,"Leader of the Opposition - Official Business",2013-07-12,2013-07-12,Melbourne,1,429.00,0.00,429.00,P33_ABBOTT_Tony.pdf,5
P33_ABBOTT_Tony_5_9,ABBOTT_Tony,P33_ABBOTT_Tony,"Leader of the Opposition - Official Business",2013-07-16,2013-07-16,Brisbane,1,400.00,0.00,400.00,P33_ABBOTT_Tony.pdf,5
P33_ABBOTT_Tony_5_10,ABBOTT_Tony,P33_ABBOTT_Tony,"Leader of the Opposition - Official Business",2013-07-18,2013-07-18,Rockhampton,1,354.00,0.00,354.00,P33_ABBOTT_Tony.pdf,5
P33_ABBOTT_Tony_5_11,ABBOTT_Tony,P33_ABBOTT_Tony,"Leader of the Opposition - Official Business",2013-07-19,2013-07-19,Brisbane,1,400.00,0.00,400.00,P33_ABBOTT_Tony.pdf,5
P33_ABBOTT_Tony_5_12,ABBOTT_Tony,P33_ABBOTT_Tony,"Leader of the Opposition - Official Business",2013-07-20,2013-07-22,Melbourne,3,429.00,0.00,1287.00,P33_ABBOTT_Tony.pdf,5
P33_ABBOTT_Tony_5_13,ABBOTT_Tony,P33_ABBOTT_Tony,"Leader of the Opposition - Official Business",2013-07-23,2013-07-24,Brisbane,2,400.00,0.00,800.00,P33_ABBOTT_Tony.pdf,5
P33_ABBOTT_Tony_5_14,ABBOTT_Tony,P33_ABBOTT_Tony,"Leader of the Opposition - Official Business",2013-07-25,2013-07-25,Launceston,1,354.00,0.00,354.00,P33_ABBOTT_Tony.pdf,5
P33_ABBOTT_Tony_5_15,ABBOTT_Tony,P33_ABBOTT_Tony,"Leader of the Opposition - Official Business",2013-07-29,2013-07-30,Melbourne,2,429.00,0.00,858.00,P33_ABBOTT_Tony.pdf,5
P33_ABBOTT_Tony_5_16,ABBOTT_Tony,P33_ABBOTT_Tony,"Leader of the Opposition - Official Business",2013-08-01,2013-08-02,Melbourne,2,429.00,0.00,858.00,P33_ABBOTT_Tony.pdf,5
P33_ABBOTT_Tony_5_17,ABBOTT_Tony,P33_ABBOTT_Tony,"Leader of the Opposition - Official Business",2013-08-04,2013-08-04,Brisbane,1,400.00,0.00,400.00,P33_ABBOTT_Tony.pdf,5
P33_ABBOTT_Tony_5_18,ABBOTT_Tony,P33_ABBOTT_Tony,"Leader of the Opposition - Official Business",2013-08-06,2013-08-06,Adelaide,1,373.00,0.00,373.00,P33_ABBOTT_Tony.pdf,5
P33_ABBOTT_Tony_5_19,ABBOTT_Tony,P33_ABBOTT_Tony,"Leader of the Opposition - Official Business",2013-08-07,2013-08-07,Launceston,1,354.00,0.00,354.00,P33_ABBOTT_Tony.pdf,5
P33_ABBOTT_Tony_5_20,ABBOTT_Tony,P33_ABBOTT_Tony,"Leader of the Opposition - Official Business",2013-08-08,2013-08-09,Brisbane,2,400.00,0.00,800.00,P33_ABBOTT_Tony.pdf,5
P33_ABBOTT_Tony_5_21,ABBOTT_Tony,P33_ABBOTT_Tony,"Leader of the Opposition - Official Business",2013-08-11,2013-08-12,Melbourne,2,429.00,0.00,858.00,P33_ABBOTT_Tony.pdf,5
P33_ABBOTT_Tony_5_22,ABBOTT_Tony,P33_ABBOTT_Tony,"Leader of the Opposition - Official Business",2013-08-13,2013-08-13,Brisbane,1,400.00,0.00,400.00,P33_ABBOTT_Tony.pdf,5
P33_ABBOTT_Tony_5_23,ABBOTT_Tony,P33_ABBOTT_Tony,"Leader of the Opposition - Official Business",2013-08-14,2013-08-14,Launceston,1,354.00,0.00,354.00,P33_ABBOTT_Tony.pdf,5
P33_ABBOTT_Tony_5_24,ABBOTT_Tony,P33_ABBOTT_Tony,"Leader of the Opposition - Official Business",2013-08-15,2013-08-15,Melbourne,1,429.00,0.00,429.00,P33_ABBOTT_Tony.pdf,5
P33_ABBOTT_Tony_5_25,ABBOTT_Tony,P33_ABBOTT_Tony,"Leader of the Opposition - Official Business",2013-08-16,2013-08-16,Perth,1,473.00,0.00,473.00,P33_ABBOTT_Tony.pdf,5
P33_ABBOTT_Tony_5_26,ABBOTT_Tony,P33_ABBOTT_Tony,"Leader of the Opposition - Official Business",2013-08-17,2013-08-17,Melbourne,1,429.00,0.00,429.00,P33_ABBOTT_Tony.pdf,5
P33_ABBOTT_Tony_5_27,ABBOTT_Tony,P33_ABBOTT_Tony,"Leader of the Opposition - Official Business",2013-08-19,2013-08-20,Melbourne,2,429.00,0.00,858.00,P33_ABBOTT_Tony.pdf,5
P33_ABBOTT_Tony_5_28,ABBOTT_Tony,P33_ABBOTT_Tony,"Leader of the Opposition - Official Business",2013-08-21,2013-08-21,Brisbane,1,400.00,0.00,400.00,P33_ABBOTT_Tony.pdf,5
P33_ABBOTT_Tony_5_29,ABBOTT_Tony,P33_ABBOTT_Tony,"Leader of the Opposition - Official Business",2013-08-22,2013-08-22,Darwin,1,448.00,0.00,448.00,P33_ABBOTT_Tony.pdf,5
P33_ABBOTT_Tony_5_30,ABBOTT_Tony,P33_ABBOTT_Tony,"Leader of the Opposition - Official Business",2013-08-23,2013-08-23,Adelaide,1,373.00,0.00,373.00,P33_ABBOTT_Tony.pdf,5
P33_ABBOTT_Tony_5_31,ABBOTT_Tony,P33_ABBOTT_Tony,"Leader of the Opposition - Official Business",2013-08-24,2013-08-24,Brisbane,1,400.00,0.00,400.00,P33_ABBOTT_Tony.pdf,5
P33_ABBOTT_Tony_5_32,ABBOTT_Tony,P33_ABBOTT_Tony,"Leader of the Opposition - Official Business",2013-09-10,2013-09-11,Canberra,2,268.00,0.00,536.00,P33_ABBOTT_Tony.pdf,5
