entry_id,parl_id,source_id,details,start_date,end_date,amount,source_pdf,source_pagenum
P39_ABBOTT_Tony_11_7,ABBOTT_Tony,P39_ABBOTT_Tony,"Parking between 12 Aug and 13 Aug 16",2016-08-12,2016-08-13,72.73,P39_ABBOTT_Tony.pdf,11
P39_ABETZ_Eric_10_34,ABETZ_Eric,P39_ABETZ_Eric,"Parking 21 Oct 16",2016-10-21,0000-00-00,18.18,P39_ABETZ_Eric.pdf,10
P39_BIRD_Sharon_16_26,BIRD_Sharon,P39_BIRD_Sharon,"Parking between 13 Jun and 16 Jun 16",2016-06-13,2016-06-16,107.27,P39_BIRD_Sharon.pdf,16
P39_BISHOP_Julie_18_21,BISHOP_Julie,P39_BISHOP_Julie,"Parking 24 Aug 16",2016-08-24,0000-00-00,5.27,P39_BISHOP_Julie.pdf,18
P39_BUSHBY_David_11_3,BUSHBY_David,P39_BUSHBY_David,"Parking between 6 Oct and 9 Oct 16",2016-10-06,2016-10-09,58.18,P39_BUSHBY_David.pdf,11
P39_CANAVAN_Matthew_15_15,CANAVAN_Matthew,P39_CANAVAN_Matthew,"Parking between 29 Aug and 1 Sep 16",2016-08-29,2016-09-01,44.55,P39_CANAVAN_Matthew.pdf,15
P39_CANAVAN_Matthew_15_16,CANAVAN_Matthew,P39_CANAVAN_Matthew,"Parking 23 Oct 16",2016-10-23,0000-00-00,22.73,P39_CANAVAN_Matthew.pdf,15
P39_CANAVAN_Matthew_15_17,CANAVAN_Matthew,P39_CANAVAN_Matthew,"Parking between 30 Oct and 31 Oct 16",2016-10-30,2016-10-31,22.73,P39_CANAVAN_Matthew.pdf,15
P39_CANAVAN_Matthew_15_18,CANAVAN_Matthew,P39_CANAVAN_Matthew,"Parking between 1 Nov and 4 Nov 16",2016-11-01,2016-11-04,46.36,P39_CANAVAN_Matthew.pdf,15
P39_CANAVAN_Matthew_27_15,CANAVAN_Matthew,P39_CANAVAN_Matthew,"Parking 20 Jan 16",2016-01-20,0000-00-00,18.18,P39_CANAVAN_Matthew.pdf,27
P39_CANAVAN_Matthew_27_16,CANAVAN_Matthew,P39_CANAVAN_Matthew,"Parking between 28 May and 29 May 16",2016-05-28,2016-05-29,21.82,P39_CANAVAN_Matthew.pdf,27
P39_CHALMERS_Jim_10_23,CHALMERS_Jim,P39_CHALMERS_Jim,"Parking between 20 Sep and 23 Sep 16",2016-09-20,2016-09-23,84.55,P39_CHALMERS_Jim.pdf,10
P39_CHALMERS_Jim_21_14,CHALMERS_Jim,P39_CHALMERS_Jim,"Parking between 8 Jun and 10 Jun 16",2016-06-08,2016-06-10,63.64,P39_CHALMERS_Jim.pdf,21
P39_CHALMERS_Jim_21_15,CHALMERS_Jim,P39_CHALMERS_Jim,"Parking between 20 Jun and 21 Jun 16",2016-06-20,2016-06-21,50.00,P39_CHALMERS_Jim.pdf,21
P39_CHALMERS_Jim_21_16,CHALMERS_Jim,P39_CHALMERS_Jim,"Parking between 29 Jun and 30 Jun 16",2016-06-29,2016-06-30,45.45,P39_CHALMERS_Jim.pdf,21
P39_CHISHOLM_Anthony_9_31,CHISHOLM_Anthony,P39_CHISHOLM_Anthony,"Parking between 10 Aug and 11 Aug 16",2016-08-10,2016-08-11,48.18,P39_CHISHOLM_Anthony.pdf,9
P39_CHISHOLM_Anthony_9_32,CHISHOLM_Anthony,P39_CHISHOLM_Anthony,"Parking between 21 Aug and 22 Aug 16",2016-08-21,2016-08-22,48.18,P39_CHISHOLM_Anthony.pdf,9
P39_CIOBO_Steven_16_38,CIOBO_Steven,P39_CIOBO_Steven,"Parking between 12 Nov and 13 Nov 16",2016-11-12,2016-11-13,63.64,P39_CIOBO_Steven.pdf,16
P39_COLLINS_Jacinta_8_34,COLLINS_Jacinta,P39_COLLINS_Jacinta,"Parking 24 Aug 16",2016-08-24,0000-00-00,54.71,P39_COLLINS_Jacinta.pdf,8
P39_CONROY_Pat_9_3,CONROY_Pat,P39_CONROY_Pat,"Parking between 11 Sep and 16 Sep 16",2016-09-11,2016-09-16,145.14,P39_CONROY_Pat.pdf,9
P39_CONROY_Pat_9_4,CONROY_Pat,P39_CONROY_Pat,"Parking between 9 Oct and 15 Oct 16",2016-10-09,2016-10-15,174.16,P39_CONROY_Pat.pdf,9
P39_CONROY_Pat_9_5,CONROY_Pat,P39_CONROY_Pat,"parking between 16 Oct and 21 Oct 16",2016-10-16,2016-10-21,145.14,P39_CONROY_Pat.pdf,9
P39_DRUM_Damian_8_14,DRUM_Damian,P39_DRUM_Damian,"Parking between 9 Sep and 15 Sep 16",2016-09-09,2016-09-15,145.99,P39_DRUM_Damian.pdf,8
P39_DRUM_Damian_8_15,DRUM_Damian,P39_DRUM_Damian,"Parking between 9 Oct and 14 Oct 16",2016-10-09,2016-10-14,145.99,P39_DRUM_Damian.pdf,8
P39_DUNIAM_Jonathon_10_9,DUNIAM_Jonathon,P39_DUNIAM_Jonathon,"Parking between 22 Sep and 29 Sep 16",2016-09-22,2016-09-29,80.00,P39_DUNIAM_Jonathon.pdf,10
P39_DUTTON_Peter_13_32,DUTTON_Peter,P39_DUTTON_Peter,"Parking between 6 Jul and 7 Jul 16",2016-07-06,2016-07-07,94.55,P39_DUTTON_Peter.pdf,13
P39_DUTTON_Peter_13_33,DUTTON_Peter,P39_DUTTON_Peter,"Parking between 17 Jul and 19 Jul 16",2016-07-17,2016-07-19,141.82,P39_DUTTON_Peter.pdf,13
P39_DUTTON_Peter_13_34,DUTTON_Peter,P39_DUTTON_Peter,"Parking between 24 Jul and 28 Jul 16",2016-07-24,2016-07-28,204.55,P39_DUTTON_Peter.pdf,13
P39_DUTTON_Peter_13_35,DUTTON_Peter,P39_DUTTON_Peter,"Parking between 2 Aug and 3 Aug 16",2016-08-02,2016-08-03,94.55,P39_DUTTON_Peter.pdf,13
P39_DUTTON_Peter_13_36,DUTTON_Peter,P39_DUTTON_Peter,"Parking between 9 Aug and 12 Aug 16",2016-08-09,2016-08-12,163.64,P39_DUTTON_Peter.pdf,13
P39_DUTTON_Peter_14_3,DUTTON_Peter,P39_DUTTON_Peter,"Parking between 15 Aug and 17 Aug 16",2016-08-15,2016-08-17,141.82,P39_DUTTON_Peter.pdf,14
P39_DUTTON_Peter_14_4,DUTTON_Peter,P39_DUTTON_Peter,"Parking between 18 Aug and 19 Aug 16",2016-08-18,2016-08-19,94.55,P39_DUTTON_Peter.pdf,14
P39_DUTTON_Peter_14_5,DUTTON_Peter,P39_DUTTON_Peter,"Parking between 28 Aug and 2 Sep 16",2016-08-28,2016-09-02,218.18,P39_DUTTON_Peter.pdf,14
P39_DUTTON_Peter_14_6,DUTTON_Peter,P39_DUTTON_Peter,"Parking between 7 Sep and 9 Sep 16",2016-09-07,2016-09-09,145.80,P39_DUTTON_Peter.pdf,14
P39_DUTTON_Peter_14_7,DUTTON_Peter,P39_DUTTON_Peter,"Parking between 11 Sep and 16 Sep 16",2016-09-11,2016-09-16,218.18,P39_DUTTON_Peter.pdf,14
P39_DUTTON_Peter_14_8,DUTTON_Peter,P39_DUTTON_Peter,"Parking between 9 Oct and 13 Oct 16",2016-10-09,2016-10-13,210.29,P39_DUTTON_Peter.pdf,14
P39_DUTTON_Peter_14_9,DUTTON_Peter,P39_DUTTON_Peter,"Parking 24 Oct 16",2016-10-24,0000-00-00,70.10,P39_DUTTON_Peter.pdf,14
P39_DUTTON_Peter_14_10,DUTTON_Peter,P39_DUTTON_Peter,"Parking between 30 Oct and 1 Nov 16",2016-10-30,2016-11-01,97.20,P39_DUTTON_Peter.pdf,14
