entry_id,parl_id,source_id,details,type,start_date,end_date,amount,source_pdf,source_pagenum
P39_ABBOTT_Tony_8_3,ABBOTT_Tony,P39_ABBOTT_Tony,"Lease 8 Jul to 7 Aug 16",Lease,2016-07-08,2016-08-07,959.87,P39_ABBOTT_Tony.pdf,8
P39_ABBOTT_Tony_8_4,ABBOTT_Tony,P39_ABBOTT_Tony,"Fuel 12 Jul to 27 Jul 16",Fuel,2016-07-12,2016-07-27,310.64,P39_ABBOTT_Tony.pdf,8
P39_ABBOTT_Tony_8_5,ABBOTT_Tony,P39_ABBOTT_Tony,"Lease 8 Aug to 7 Sep 16",Lease,2016-08-08,2016-09-07,959.87,P39_ABBOTT_Tony.pdf,8
P39_ABBOTT_Tony_8_6,ABBOTT_Tony,P39_ABBOTT_Tony,"Fuel 13 Aug to 22 Aug 16",Fuel,2016-08-13,2016-08-22,118.11,P39_ABBOTT_Tony.pdf,8
P39_ABBOTT_Tony_8_7,ABBOTT_Tony,P39_ABBOTT_Tony,"Fuel 31 Aug to 22 Sep 16",Fuel,2016-08-31,2016-09-22,143.16,P39_ABBOTT_Tony.pdf,8
P39_ABBOTT_Tony_8_8,ABBOTT_Tony,P39_ABBOTT_Tony,"Lease 8 Sep to 7 Oct 16",Lease,2016-09-08,2016-10-07,959.87,P39_ABBOTT_Tony.pdf,8
P39_ABBOTT_Tony_8_9,ABBOTT_Tony,P39_ABBOTT_Tony,"Fuel 27 Sep to 29 Oct 16",Fuel,2016-09-27,2016-10-29,249.15,P39_ABBOTT_Tony.pdf,8
P39_ABBOTT_Tony_8_10,ABBOTT_Tony,P39_ABBOTT_Tony,"Lease 8 Oct to 7 Nov 16",Lease,2016-10-08,2016-11-07,959.86,P39_ABBOTT_Tony.pdf,8
P39_ABBOTT_Tony_24_3,ABBOTT_Tony,P39_ABBOTT_Tony,"Fuel 2 Jun to 24 Jun 16",Fuel,2016-06-02,2016-06-24,205.12,P39_ABBOTT_Tony.pdf,24
P39_ABBOTT_Tony_24_4,ABBOTT_Tony,P39_ABBOTT_Tony,"Lease 8 Jun to 7 Jul 16",Lease,2016-06-08,2016-07-07,959.87,P39_ABBOTT_Tony.pdf,24
P39_ABETZ_Eric_9_3,ABETZ_Eric,P39_ABETZ_Eric,"Fuel 1 Jul to 22 Jul 16",Fuel,2016-07-01,2016-07-22,578.43,P39_ABETZ_Eric.pdf,9
P39_ABETZ_Eric_9_4,ABETZ_Eric,P39_ABETZ_Eric,"Lease 10 Jul to 9 Aug 16",Lease,2016-07-10,2016-08-09,1096.90,P39_ABETZ_Eric.pdf,9
P39_ABETZ_Eric_9_5,ABETZ_Eric,P39_ABETZ_Eric,"Fuel 31 Jul 16",Fuel,2016-07-31,0000-00-00,115.64,P39_ABETZ_Eric.pdf,9
P39_ABETZ_Eric_9_6,ABETZ_Eric,P39_ABETZ_Eric,"Fuel 6 Aug to 20 Aug 16",Fuel,2016-08-06,2016-08-20,252.89,P39_ABETZ_Eric.pdf,9
P39_ABETZ_Eric_9_7,ABETZ_Eric,P39_ABETZ_Eric,"Lease 10 Aug to 9 Sep 16",Lease,2016-08-10,2016-09-09,1096.90,P39_ABETZ_Eric.pdf,9
