entry_id,parl_id,source_id,details,start_date,end_date,amount,source_pdf,source_pagenum
P34_ADAMS_Dick_18_7,ADAMS_Dick,P34_ADAMS_Dick,"Hobart to Launceston 14 Feb to 15 Feb 13",2013-02-14,2013-02-15,77.12,P34_ADAMS_Dick.pdf,18
P34_ALBANESE_Anthony_15_12,ALBANESE_Anthony,P34_ALBANESE_Anthony,"Ballina Airport 17 Apr to 18 Apr 14",2014-04-17,2014-04-18,138.54,P34_ALBANESE_Anthony.pdf,15
P34_ALBANESE_Anthony_15_13,ALBANESE_Anthony,P34_ALBANESE_Anthony,"Perth 20 Apr to 22 Apr 14",2014-04-20,2014-04-22,119.30,P34_ALBANESE_Anthony.pdf,15
P34_ALBANESE_Anthony_25_18,ALBANESE_Anthony,P34_ALBANESE_Anthony,"Cairns 15 Jun to 16 Jun 13",2013-06-15,2013-06-16,58.00,P34_ALBANESE_Anthony.pdf,25
P34_ALEXANDER_John_8_12,ALEXANDER_John,P34_ALEXANDER_John,"Taxi 10 Apr 14",2014-04-10,0000-00-00,126.14,P34_ALEXANDER_John.pdf,8
P34_ANDREWS_Kevin_19_3,ANDREWS_Kevin,P34_ANDREWS_Kevin,"Taxi 31 Jan 14",2014-01-31,0000-00-00,49.65,P34_ANDREWS_Kevin.pdf,19
P34_BACK_Chris_11_17,BACK_Chris,P34_BACK_Chris,"Darwin 6 May to 8 May 14",2014-05-06,2014-05-08,670.66,P34_BACK_Chris.pdf,11
P34_BACK_Chris_25_3,BACK_Chris,P34_BACK_Chris,"Brisbane 24 Aug to 25 Aug 13",2013-08-24,2013-08-25,132.82,P34_BACK_Chris.pdf,25
P34_BALDWIN_Bob_15_33,BALDWIN_Bob,P34_BALDWIN_Bob,"Perth 20 Jun to 22 Jun 14",2014-06-20,2014-06-22,97.64,P34_BALDWIN_Bob.pdf,15
P34_BALDWIN_Bob_27_15,BALDWIN_Bob,P34_BALDWIN_Bob,"Melbourne to Newcastle 26 Feb to 1 Mar 13",2013-02-26,2013-03-01,837.34,P34_BALDWIN_Bob.pdf,27
P34_BIRMINGHAM_Simon_22_23,BIRMINGHAM_Simon,P34_BIRMINGHAM_Simon,"Refund of hire car costs in Sydney between 25 Mar and 28 Mar 11",2011-03-25,2011-03-28,-205.32,P34_BIRMINGHAM_Simon.pdf,22
P34_BISHOP_Bronwyn_22_12,BISHOP_Bronwyn,P34_BISHOP_Bronwyn,"Taxi 5 Nov 13",2013-11-05,0000-00-00,168.31,P34_BISHOP_Bronwyn.pdf,22
P34_BISHOP_Bronwyn_22_13,BISHOP_Bronwyn,P34_BISHOP_Bronwyn,"Taxi 7 Nov 13",2013-11-07,0000-00-00,81.05,P34_BISHOP_Bronwyn.pdf,22
