entry_id,parl_id,source_id,details,type,start_date,end_date,amount,source_pdf,source_pagenum
P35_ABBOTT_Tony_10_10,ABBOTT_Tony,P35_ABBOTT_Tony,"Fuel 7 Oct to 31 Oct 14",Fuel,2014-10-07,2014-10-31,257.73,P35_ABBOTT_Tony.pdf,10
P35_ABBOTT_Tony_10_11,ABBOTT_Tony,P35_ABBOTT_Tony,"Lease 1 Nov to 30 Nov 14",Lease,2014-11-01,2014-11-30,994.85,P35_ABBOTT_Tony.pdf,10
P35_ABBOTT_Tony_10_12,ABBOTT_Tony,P35_ABBOTT_Tony,"Lease 1 Dec to 31 Dec 14",Lease,2014-12-01,2014-12-31,994.85,P35_ABBOTT_Tony.pdf,10
P35_ABBOTT_Tony_10_3,ABBOTT_Tony,P35_ABBOTT_Tony,"Lease 1 Jul to 31 Jul 14",Lease,2014-07-01,2014-07-31,994.85,P35_ABBOTT_Tony.pdf,10
P35_ABBOTT_Tony_10_4,ABBOTT_Tony,P35_ABBOTT_Tony,"Fuel 4 Jul to 27 Jul 14",Fuel,2014-07-04,2014-07-27,169.05,P35_ABBOTT_Tony.pdf,10
P35_ABBOTT_Tony_10_5,ABBOTT_Tony,P35_ABBOTT_Tony,"Lease 1 Aug to 31 Aug 14",Lease,2014-08-01,2014-08-31,994.85,P35_ABBOTT_Tony.pdf,10
P35_ABBOTT_Tony_10_6,ABBOTT_Tony,P35_ABBOTT_Tony,"Fuel 13 Aug to 20 Aug 14",Fuel,2014-08-13,2014-08-20,147.17,P35_ABBOTT_Tony.pdf,10
P35_ABBOTT_Tony_10_7,ABBOTT_Tony,P35_ABBOTT_Tony,"Lease 1 Sep to 30 Sep 14",Lease,2014-09-01,2014-09-30,994.85,P35_ABBOTT_Tony.pdf,10
P35_ABBOTT_Tony_10_8,ABBOTT_Tony,P35_ABBOTT_Tony,"Fuel 26 Sep to 7 Oct 14",Fuel,2014-09-26,2014-10-07,107.62,P35_ABBOTT_Tony.pdf,10
P35_ABBOTT_Tony_10_9,ABBOTT_Tony,P35_ABBOTT_Tony,"Lease 1 Oct to 31 Oct 14",Lease,2014-10-01,2014-10-31,994.85,P35_ABBOTT_Tony.pdf,10
P35_ABBOTT_Tony_33_3,ABBOTT_Tony,P35_ABBOTT_Tony,"Fuel 7 May to 28 May 14",Fuel,2014-05-07,2014-05-28,177.34,P35_ABBOTT_Tony.pdf,33
P35_ABBOTT_Tony_33_4,ABBOTT_Tony,P35_ABBOTT_Tony,"Fuel 8 Jun to 22 Jun 14",Fuel,2014-06-08,2014-06-22,247.41,P35_ABBOTT_Tony.pdf,33
P35_ABETZ_Eric_11_10,ABETZ_Eric,P35_ABETZ_Eric,"Lease 1 Nov to 30 Nov 14",Lease,2014-11-01,2014-11-30,1129.05,P35_ABETZ_Eric.pdf,11
P35_ABETZ_Eric_11_11,ABETZ_Eric,P35_ABETZ_Eric,"Fuel 5 Nov 14",Fuel,2014-11-05,0000-00-00,88.35,P35_ABETZ_Eric.pdf,11
P35_ABETZ_Eric_11_12,ABETZ_Eric,P35_ABETZ_Eric,"Lease 1 Dec to 15 Dec 14",Lease,2014-12-01,2014-12-15,546.29,P35_ABETZ_Eric.pdf,11
P35_ABETZ_Eric_11_3,ABETZ_Eric,P35_ABETZ_Eric,"Fuel 3 Jul to 27 Jul 14",Fuel,2014-07-03,2014-07-27,419.23,P35_ABETZ_Eric.pdf,11
P35_ABETZ_Eric_11_4,ABETZ_Eric,P35_ABETZ_Eric,"Lease 1 Aug to 31 Aug 14",Lease,2014-08-01,2014-08-31,1129.05,P35_ABETZ_Eric.pdf,11
P35_ABETZ_Eric_11_5,ABETZ_Eric,P35_ABETZ_Eric,"Fuel 12 Aug to 30 Aug 14",Fuel,2014-08-12,2014-08-30,422.54,P35_ABETZ_Eric.pdf,11
P35_ABETZ_Eric_11_6,ABETZ_Eric,P35_ABETZ_Eric,"Lease 1 Sep to 30 Sep 14",Lease,2014-09-01,2014-09-30,1129.05,P35_ABETZ_Eric.pdf,11
P35_ABETZ_Eric_11_7,ABETZ_Eric,P35_ABETZ_Eric,"Fuel 6 Sep to 20 Sep 14",Fuel,2014-09-06,2014-09-20,227.64,P35_ABETZ_Eric.pdf,11
P35_ABETZ_Eric_11_8,ABETZ_Eric,P35_ABETZ_Eric,"Lease 1 Oct to 31 Oct 14",Lease,2014-10-01,2014-10-31,1129.05,P35_ABETZ_Eric.pdf,11
P35_ABETZ_Eric_11_9,ABETZ_Eric,P35_ABETZ_Eric,"Fuel 4 Oct to 25 Oct 14",Fuel,2014-10-04,2014-10-25,642.45,P35_ABETZ_Eric.pdf,11
P35_ABETZ_Eric_30_3,ABETZ_Eric,P35_ABETZ_Eric,"Fuel 31 May 14",Fuel,2014-05-31,0000-00-00,129.95,P35_ABETZ_Eric.pdf,30
P35_ABETZ_Eric_30_4,ABETZ_Eric,P35_ABETZ_Eric,"Fuel 12 Jun to 21 Jun 14",Fuel,2014-06-12,2014-06-21,307.07,P35_ABETZ_Eric.pdf,30
P35_ALBANESE_Anthony_10_10,ALBANESE_Anthony,P35_ALBANESE_Anthony,"Fuel 12 Sep to 29 Sep 14",Fuel,2014-09-12,2014-09-29,166.92,P35_ALBANESE_Anthony.pdf,10
P35_ALBANESE_Anthony_10_11,ALBANESE_Anthony,P35_ALBANESE_Anthony,"Fuel 21 Sep 14",Fuel,2014-09-21,0000-00-00,68.25,P35_ALBANESE_Anthony.pdf,10
P35_ALBANESE_Anthony_10_12,ALBANESE_Anthony,P35_ALBANESE_Anthony,"Lease 29 Sep to 28 Oct 14",Lease,2014-09-29,2014-10-28,819.81,P35_ALBANESE_Anthony.pdf,10
