entry_id,parl_id,source_id,details,flight_date,origin,destination,amount,superscript,adjustment,notes,linked_entry,source_pdf,source_pagenum
P35_ABETZ_Eric_6_3,ABETZ_Eric,P35_ABETZ_Eric,"1 Jul 14 - Canberra to Melbourne",2014-07-01,Canberra,Melbourne,686.63,,,,,P35_ABETZ_Eric.pdf,6
P35_ABETZ_Eric_6_4,ABETZ_Eric,P35_ABETZ_Eric,"1 Jul 14 - Melbourne to Hobart",2014-07-01,Melbourne,Hobart,0.00,,,,P35_ABETZ_Eric_6_3,P35_ABETZ_Eric.pdf,6
P35_ABETZ_Eric_6_5,ABETZ_Eric,P35_ABETZ_Eric,"4 Jul 14 - Hobart to Melbourne",2014-07-04,Hobart,Melbourne,801.97,,,,,P35_ABETZ_Eric.pdf,6
P35_ABETZ_Eric_6_6,ABETZ_Eric,P35_ABETZ_Eric,"4 Jul 14 - Melbourne to Brisbane",2014-07-04,Melbourne,Brisbane,0.00,,,,P35_ABETZ_Eric_6_5,P35_ABETZ_Eric.pdf,6
P35_ABETZ_Eric_6_7,ABETZ_Eric,P35_ABETZ_Eric,"5 Jul 14 - Brisbane to Hobart",2014-07-05,Brisbane,Hobart,143.18,,,,,P35_ABETZ_Eric.pdf,6
P35_ABETZ_Eric_6_8,ABETZ_Eric,P35_ABETZ_Eric,"6 Jul 14 - Brisbane to Sydney",2014-07-06,Brisbane,Sydney,764.20,,,,,P35_ABETZ_Eric.pdf,6
P35_ABETZ_Eric_6_9,ABETZ_Eric,P35_ABETZ_Eric,"6 Jul 14 - Sydney to Canberra",2014-07-06,Sydney,Canberra,0.00,,,,P35_ABETZ_Eric_6_8,P35_ABETZ_Eric.pdf,6
P35_ABETZ_Eric_6_10,ABETZ_Eric,P35_ABETZ_Eric,"11 Jul 14 - Canberra to Melbourne",2014-07-11,Canberra,Melbourne,491.54,,,,,P35_ABETZ_Eric.pdf,6
P35_ABETZ_Eric_6_11,ABETZ_Eric,P35_ABETZ_Eric,"11 Jul 14 - Melbourne to Hobart",2014-07-11,Melbourne,Hobart,477.63,,,,,P35_ABETZ_Eric.pdf,6
P35_ABETZ_Eric_6_12,ABETZ_Eric,P35_ABETZ_Eric,"13 Jul 14 - Hobart to Melbourne",2014-07-13,Hobart,Melbourne,901.14,,,,,P35_ABETZ_Eric.pdf,6
P35_ABETZ_Eric_6_13,ABETZ_Eric,P35_ABETZ_Eric,"13 Jul 14 - Melbourne to Canberra",2014-07-13,Melbourne,Canberra,0.00,,,,P35_ABETZ_Eric_6_12,P35_ABETZ_Eric.pdf,6
P35_ABETZ_Eric_6_14,ABETZ_Eric,P35_ABETZ_Eric,"18 Jul 14 - Canberra to Melbourne",2014-07-18,Canberra,Melbourne,646.32,,,,,P35_ABETZ_Eric.pdf,6
P35_ABETZ_Eric_6_15,ABETZ_Eric,P35_ABETZ_Eric,"18 Jul 14 - Melbourne to Hobart",2014-07-18,Melbourne,Hobart,0.00,,,,P35_ABETZ_Eric_6_14,P35_ABETZ_Eric.pdf,6
