entry_id,parl_id,source_id,details,start_date,end_date,origin,destination,amount,superscript,adjustment,notes,linked_entry,source_pdf,source_pagenum
P36_ABBOTT_Tony_29_3,ABBOTT_Tony,P36_ABBOTT_Tony,"Sydney 16 Oct 13",2013-10-16,0000-00-00,Sydney,,320.00,,,,,P36_ABBOTT_Tony.pdf,29
P36_BISHOP_Bronwyn_9_3,BISHOP_Bronwyn,P36_BISHOP_Bronwyn,"Canberra to Port Macquarie 6 Mar 15",2015-03-06,0000-00-00,Canberra,"Port Macquarie",4100.00,,,,,P36_BISHOP_Bronwyn.pdf,9
P36_BISHOP_Bronwyn_9_4,BISHOP_Bronwyn,P36_BISHOP_Bronwyn,"Port Macquarie to Sydney 6 Mar 15",2015-03-06,0000-00-00,"Port Macquarie",Sydney,0.00,,,,P36_BISHOP_Bronwyn_9_3,P36_BISHOP_Bronwyn.pdf,9
P36_BISHOP_Bronwyn_20_3,BISHOP_Bronwyn,P36_BISHOP_Bronwyn,"Sydney to Young 10 Nov 14",2014-11-10,0000-00-00,Sydney,Young,2868.18,,,,,P36_BISHOP_Bronwyn.pdf,20
P36_BISHOP_Bronwyn_20_4,BISHOP_Bronwyn,P36_BISHOP_Bronwyn,"Young to Canberra 10 Nov 14",2014-11-10,0000-00-00,Young,Canberra,0.00,,,,P36_BISHOP_Bronwyn_20_3,P36_BISHOP_Bronwyn.pdf,20
P36_BISHOP_Bronwyn_20_5,BISHOP_Bronwyn,P36_BISHOP_Bronwyn,"Sydney to Nowra 22 Nov 14",2014-11-22,0000-00-00,Sydney,Nowra,6345.45,,,,,P36_BISHOP_Bronwyn.pdf,20
P36_BISHOP_Bronwyn_20_6,BISHOP_Bronwyn,P36_BISHOP_Bronwyn,"Nowra to Sydney 22 Nov 14",2014-11-22,0000-00-00,Nowra,Sydney,0.00,,,,P36_BISHOP_Bronwyn_20_5,P36_BISHOP_Bronwyn.pdf,20
P36_CORMANN_Mathias_30_3,CORMANN_Mathias,P36_CORMANN_Mathias,"Sydney to Canberra 18 Nov 14",2014-11-18,0000-00-00,Sydney,Canberra,3759.09,,,,,P36_CORMANN_Mathias.pdf,30
P36_HOCKEY_Joe_9_3,HOCKEY_Joe,P36_HOCKEY_Joe,"Sydney to Canberra 2 Feb 15",2015-02-02,0000-00-00,Sydney,Canberra,6670.00,,,,,P36_HOCKEY_Joe.pdf,9
P36_HOCKEY_Joe_9_4,HOCKEY_Joe,P36_HOCKEY_Joe,"Warnervale to Canberra 1 Mar 15",2015-03-01,0000-00-00,Warnervale,Canberra,4181.82,,,,,P36_HOCKEY_Joe.pdf,9
P36_HOCKEY_Joe_23_3,HOCKEY_Joe,P36_HOCKEY_Joe,"Warnervale to Canberra 2 Mar 14",2014-03-02,0000-00-00,Warnervale,Canberra,3190.00,,,,,P36_HOCKEY_Joe.pdf,23
P36_JOYCE_Barnaby1_8_3,JOYCE_Barnaby,P36_JOYCE_Barnaby1,"Maroochydore to Tamworth 13 Jan 15",2015-01-13,0000-00-00,Maroochydore,Tamworth,8360.00,,,,,P36_JOYCE_Barnaby1.pdf,8
P36_JOYCE_Barnaby1_8_4,JOYCE_Barnaby,P36_JOYCE_Barnaby1,"Tamworth to Maroochydore 15 Jan 15",2015-01-15,0000-00-00,Tamworth,Maroochydore,8360.00,,,,,P36_JOYCE_Barnaby1.pdf,8
P36_JOYCE_Barnaby1_8_5,JOYCE_Barnaby,P36_JOYCE_Barnaby1,"Maroochydore to Toowoomba 22 Jan 15",2015-01-22,0000-00-00,Maroochydore,Toowoomba,7860.00,,,,,P36_JOYCE_Barnaby1.pdf,8
P36_JOYCE_Barnaby1_8_6,JOYCE_Barnaby,P36_JOYCE_Barnaby1,"Toowoomba to Maroochydore 22 Jan 15",2015-01-22,0000-00-00,Toowoomba,Maroochydore,0.00,,,,P36_JOYCE_Barnaby1_8_5,P36_JOYCE_Barnaby1.pdf,8
P36_JOYCE_Barnaby1_8_7,JOYCE_Barnaby,P36_JOYCE_Barnaby1,"Tamworth to Canberra 22 Feb 15",2015-02-22,0000-00-00,Tamworth,Canberra,6440.00,,,,,P36_JOYCE_Barnaby1.pdf,8
P36_JOYCE_Barnaby1_8_8,JOYCE_Barnaby,P36_JOYCE_Barnaby1,"Tamworth to Rockhampton 28 Feb 15",2015-02-28,0000-00-00,Tamworth,Rockhampton,10850.00,,,,,P36_JOYCE_Barnaby1.pdf,8
P36_JOYCE_Barnaby1_8_9,JOYCE_Barnaby,P36_JOYCE_Barnaby1,"Rockhampton to Thangool 28 Feb 15",2015-02-28,0000-00-00,Rockhampton,Thangool,0.00,,,,P36_JOYCE_Barnaby1_8_8,P36_JOYCE_Barnaby1.pdf,8
P36_JOYCE_Barnaby1_8_10,JOYCE_Barnaby,P36_JOYCE_Barnaby1,"Thangool to Tamworth 28 Feb 15",2015-02-28,0000-00-00,Thangool,Tamworth,0.00,,,,P36_JOYCE_Barnaby1_8_8,P36_JOYCE_Barnaby1.pdf,8
P36_JOYCE_Barnaby1_8_11,JOYCE_Barnaby,P36_JOYCE_Barnaby1,"Tamworth to Canberra 2 Mar 15",2015-03-02,0000-00-00,Tamworth,Canberra,3220.00,,,,,P36_JOYCE_Barnaby1.pdf,8
P36_JOYCE_Barnaby1_26_3,JOYCE_Barnaby,P36_JOYCE_Barnaby1,"Gladstone to Canberra 20 May 14",2014-05-20,0000-00-00,Gladstone,Canberra,4860.00,,,,,P36_JOYCE_Barnaby1.pdf,26
P36_JOYCE_Barnaby1_26_4,JOYCE_Barnaby,P36_JOYCE_Barnaby1,"Canberra to Coolangatta 21 May 14",2014-05-21,0000-00-00,Canberra,Coolangatta,0.00,,,,P36_JOYCE_Barnaby1_26_3,P36_JOYCE_Barnaby1.pdf,26
P36_JOYCE_Barnaby1_26_5,JOYCE_Barnaby,P36_JOYCE_Barnaby1,"Coolangatta to Tamworth 21 May 14",2014-05-21,0000-00-00,Coolangatta,Tamworth,0.00,,,,P36_JOYCE_Barnaby1_26_3,P36_JOYCE_Barnaby1.pdf,26
P36_JOYCE_Barnaby1_26_6,JOYCE_Barnaby,P36_JOYCE_Barnaby1,"Brisbane to Tamworth 7 Aug 14",2014-08-07,0000-00-00,Brisbane,Tamworth,5580.00,,,,,P36_JOYCE_Barnaby1.pdf,26
P36_JOYCE_Barnaby1_26_7,JOYCE_Barnaby,P36_JOYCE_Barnaby1,"Canberra to Newcastle 4 Sep 14",2014-09-04,0000-00-00,Canberra,Newcastle,4250.00,,,,,P36_JOYCE_Barnaby1.pdf,26
P36_JOYCE_Barnaby1_26_8,JOYCE_Barnaby,P36_JOYCE_Barnaby1,"Canberra to Tamworth 2 Oct 14",2014-10-02,0000-00-00,Canberra,Tamworth,6440.00,,,,,P36_JOYCE_Barnaby1.pdf,26
P36_JOYCE_Barnaby1_26_9,JOYCE_Barnaby,P36_JOYCE_Barnaby1,"Tamworth to Wangaratta 11 Oct 14",2014-10-11,0000-00-00,Tamworth,Wangaratta,9730.00,,,,,P36_JOYCE_Barnaby1.pdf,26
P36_JOYCE_Barnaby1_26_10,JOYCE_Barnaby,P36_JOYCE_Barnaby1,"Wangaratta to Sydney 11 Oct 14",2014-10-11,0000-00-00,Wangaratta,Sydney,0.00,,,,P36_JOYCE_Barnaby1_26_9,P36_JOYCE_Barnaby1.pdf,26
P36_JOYCE_Barnaby1_26_11,JOYCE_Barnaby,P36_JOYCE_Barnaby1,"Toowoomba to Kingaroy 24 Oct 14",2014-10-24,0000-00-00,Toowoomba,Kingaroy,4480.00,,,,,P36_JOYCE_Barnaby1.pdf,26
P36_JOYCE_Barnaby1_26_12,JOYCE_Barnaby,P36_JOYCE_Barnaby1,"Kingaroy to Toowoomba 24 Oct 14",2014-10-24,0000-00-00,Kingaroy,Toowoomba,0.00,,,,P36_JOYCE_Barnaby1_26_11,P36_JOYCE_Barnaby1.pdf,26
P36_JOYCE_Barnaby1_26_13,JOYCE_Barnaby,P36_JOYCE_Barnaby1,"Brisbane to Tamworth 14 Nov 14",2014-11-14,0000-00-00,Brisbane,Tamworth,6330.00,,,,,P36_JOYCE_Barnaby1.pdf,26
P36_JOYCE_Barnaby1_26_14,JOYCE_Barnaby,P36_JOYCE_Barnaby1,"Darwin to Mataranka 21 Nov 14",2014-11-21,0000-00-00,Darwin,Mataranka,2722.73,,,,,P36_JOYCE_Barnaby1.pdf,26
P36_JOYCE_Barnaby1_26_15,JOYCE_Barnaby,P36_JOYCE_Barnaby1,"Mataranka to Tindal 21 Nov 14",2014-11-21,0000-00-00,Mataranka,Tindal,0.00,,,,P36_JOYCE_Barnaby1_26_14,P36_JOYCE_Barnaby1.pdf,26
P36_JOYCE_Barnaby1_26_16,JOYCE_Barnaby,P36_JOYCE_Barnaby1,"Tindal to Darwin 21 Nov 14",2014-11-21,0000-00-00,Tindal,Darwin,0.00,,,,P36_JOYCE_Barnaby1_26_14,P36_JOYCE_Barnaby1.pdf,26
P36_JOYCE_Barnaby1_26_17,JOYCE_Barnaby,P36_JOYCE_Barnaby1,"Canberra to Nowra 27 Nov 14",2014-11-27,0000-00-00,Canberra,Nowra,8680.00,,,,,P36_JOYCE_Barnaby1.pdf,26
P36_JOYCE_Barnaby1_26_18,JOYCE_Barnaby,P36_JOYCE_Barnaby1,"Nowra to Tamworth 27 Nov 14",2014-11-27,0000-00-00,Nowra,Tamworth,0.00,,,,P36_JOYCE_Barnaby1_26_17,P36_JOYCE_Barnaby1.pdf,26
P36_JOYCE_Barnaby1_26_19,JOYCE_Barnaby,P36_JOYCE_Barnaby1,"Brisbane to Winton 5 Dec 14",2014-12-05,0000-00-00,Brisbane,Winton,16800.00,,,,,P36_JOYCE_Barnaby1.pdf,26
P36_JOYCE_Barnaby1_26_20,JOYCE_Barnaby,P36_JOYCE_Barnaby1,"Winton to Sydney 5 Dec 14",2014-12-05,0000-00-00,Winton,Sydney,0.00,,,,P36_JOYCE_Barnaby1_26_19,P36_JOYCE_Barnaby1.pdf,26
P36_JOYCE_Barnaby1_26_21,JOYCE_Barnaby,P36_JOYCE_Barnaby1,"Tamworth to Mackay 10 Dec 14",2014-12-10,0000-00-00,Tamworth,Mackay,17240.00,,,,,P36_JOYCE_Barnaby1.pdf,26
