entry_id,parl_id,source_id,details,location,date,amount,source_pdf,source_pagenum
P37_ABBOTT_Tony_9_16,ABBOTT_Tony,P37_ABBOTT_Tony,"18 Sep 15 - Canberra",Canberra,2015-09-18,161.24,P37_ABBOTT_Tony.pdf,9
P37_ABETZ_Eric_10_17,ABETZ_Eric,P37_ABETZ_Eric,"1 Jul 15 - Hobart",Hobart,2015-07-01,117.90,P37_ABETZ_Eric.pdf,10
P37_ABETZ_Eric_10_18,ABETZ_Eric,P37_ABETZ_Eric,"11 Jul 15 - Hobart",Hobart,2015-07-11,78.60,P37_ABETZ_Eric.pdf,10
P37_ABETZ_Eric_10_19,ABETZ_Eric,P37_ABETZ_Eric,"11 Jul 15 - Hobart",Hobart,2015-07-11,78.60,P37_ABETZ_Eric.pdf,10
P37_ABETZ_Eric_10_20,ABETZ_Eric,P37_ABETZ_Eric,"13 Jul 15 - Hobart",Hobart,2015-07-13,45.85,P37_ABETZ_Eric.pdf,10
P37_ABETZ_Eric_10_21,ABETZ_Eric,P37_ABETZ_Eric,"13 Jul 15 - Sydney",Sydney,2015-07-13,249.23,P37_ABETZ_Eric.pdf,10
P37_ABETZ_Eric_10_22,ABETZ_Eric,P37_ABETZ_Eric,"13 Jul 15 - Sydney",Sydney,2015-07-13,40.00,P37_ABETZ_Eric.pdf,10
P37_ABETZ_Eric_10_23,ABETZ_Eric,P37_ABETZ_Eric,"14 Jul 15 - Canberra",Canberra,2015-07-14,40.00,P37_ABETZ_Eric.pdf,10
P37_ABETZ_Eric_10_24,ABETZ_Eric,P37_ABETZ_Eric,"14 Jul 15 - Hobart",Hobart,2015-07-14,42.00,P37_ABETZ_Eric.pdf,10
P37_ABETZ_Eric_10_25,ABETZ_Eric,P37_ABETZ_Eric,"15 Jul 15 - Hobart",Hobart,2015-07-15,45.85,P37_ABETZ_Eric.pdf,10
P37_ABETZ_Eric_10_26,ABETZ_Eric,P37_ABETZ_Eric,"15 Jul 15 - Melbourne",Melbourne,2015-07-15,65.77,P37_ABETZ_Eric.pdf,10
P37_ABETZ_Eric_10_27,ABETZ_Eric,P37_ABETZ_Eric,"15 Jul 15 - Melbourne",Melbourne,2015-07-15,40.00,P37_ABETZ_Eric.pdf,10
P37_ABETZ_Eric_10_28,ABETZ_Eric,P37_ABETZ_Eric,"15 Jul 15 - Melbourne",Melbourne,2015-07-15,47.10,P37_ABETZ_Eric.pdf,10
P37_ABETZ_Eric_10_29,ABETZ_Eric,P37_ABETZ_Eric,"15 Jul 15 - Hobart",Hobart,2015-07-15,75.36,P37_ABETZ_Eric.pdf,10
P37_ABETZ_Eric_10_30,ABETZ_Eric,P37_ABETZ_Eric,"16 Jul 15 - Hobart",Hobart,2015-07-16,375.00,P37_ABETZ_Eric.pdf,10
