entry_id,parl_id,source_id,details,start_date,end_date,location,num_nights,rate,spouse,amount,source_pdf,source_pagenum
P37_ABBOTT_Tony_17_4,ABBOTT_Tony,P37_ABBOTT_Tony,"Prime Minister",2015-06-25,2015-06-26,Melbourne,2,560.00,0.00,1120.00,P37_ABBOTT_Tony.pdf,17
P37_ABBOTT_Tony_5_10,ABBOTT_Tony,P37_ABBOTT_Tony,"Prime Minister",2015-08-02,2015-08-02,Melbourne,1,560.00,0.00,560.00,P37_ABBOTT_Tony.pdf,5
P37_ABBOTT_Tony_5_11,ABBOTT_Tony,P37_ABBOTT_Tony,"Prime Minister",2015-08-03,2015-08-04,Adelaide,2,560.00,0.00,1120.00,P37_ABBOTT_Tony.pdf,5
P37_ABBOTT_Tony_5_12,ABBOTT_Tony,P37_ABBOTT_Tony,"Prime Minister",2015-08-05,2015-08-05,Geelong,1,560.00,0.00,560.00,P37_ABBOTT_Tony.pdf,5
P37_ABBOTT_Tony_5_13,ABBOTT_Tony,P37_ABBOTT_Tony,"Prime Minister",2015-08-06,2015-08-06,Melbourne,1,560.00,0.00,560.00,P37_ABBOTT_Tony.pdf,5
P37_ABBOTT_Tony_5_14,ABBOTT_Tony,P37_ABBOTT_Tony,"Prime Minister",2015-08-14,2015-08-14,Adelaide,1,560.00,0.00,560.00,P37_ABBOTT_Tony.pdf,5
P37_ABBOTT_Tony_5_15,ABBOTT_Tony,P37_ABBOTT_Tony,"Prime Minister",2015-08-15,2015-08-15,Brisbane,1,560.00,0.00,560.00,P37_ABBOTT_Tony.pdf,5
P37_ABBOTT_Tony_5_16,ABBOTT_Tony,P37_ABBOTT_Tony,"Prime Minister",2015-08-21,2015-08-21,Perth,1,560.00,0.00,560.00,P37_ABBOTT_Tony.pdf,5
P37_ABBOTT_Tony_5_17,ABBOTT_Tony,P37_ABBOTT_Tony,"Prime Minister",2015-08-22,2015-08-22,Broome,1,560.00,0.00,560.00,P37_ABBOTT_Tony.pdf,5
P37_ABBOTT_Tony_5_18,ABBOTT_Tony,P37_ABBOTT_Tony,"Prime Minister",2015-09-01,2015-09-01,Perth,1,564.00,0.00,564.00,P37_ABBOTT_Tony.pdf,5
P37_ABBOTT_Tony_5_19,ABBOTT_Tony,P37_ABBOTT_Tony,"Prime Minister",2015-09-03,2015-09-03,Melbourne,1,564.00,0.00,564.00,P37_ABBOTT_Tony.pdf,5
P37_ABBOTT_Tony_5_20,ABBOTT_Tony,P37_ABBOTT_Tony,"Prime Minister",2015-09-04,2015-09-04,Hobart,1,564.00,0.00,564.00,P37_ABBOTT_Tony.pdf,5
P37_ABBOTT_Tony_5_21,ABBOTT_Tony,P37_ABBOTT_Tony,"Prime Minister",2015-09-12,2015-09-12,Perth,1,564.00,0.00,564.00,P37_ABBOTT_Tony.pdf,5
P37_ABBOTT_Tony_5_22,ABBOTT_Tony,P37_ABBOTT_Tony,"Prime Minister",2015-09-13,2015-09-13,Adelaide,1,564.00,0.00,564.00,P37_ABBOTT_Tony.pdf,5
P37_ABBOTT_Tony_5_23,ABBOTT_Tony,P37_ABBOTT_Tony,"Former Prime Minister - Official Business",2015-09-23,2015-09-24,Canberra,2,273.00,0.00,546.00,P37_ABBOTT_Tony.pdf,5
P37_ABBOTT_Tony_5_24,ABBOTT_Tony,P37_ABBOTT_Tony,"Former Prime Minister - Official Business",2015-09-29,2015-09-29,Canberra,1,273.00,0.00,273.00,P37_ABBOTT_Tony.pdf,5
P37_ABBOTT_Tony_5_25,ABBOTT_Tony,P37_ABBOTT_Tony,"Former Prime Minister - Official Business",2015-09-30,2015-10-01,Melbourne,2,438.00,0.00,876.00,P37_ABBOTT_Tony.pdf,5
