entry_id,parl_id,source_id,details,start_date,end_date,amount,source_pdf,source_pagenum
P38_BIRD_Sharon_8_31,BIRD_Sharon,P38_BIRD_Sharon,"Parking between 21 Apr and 22 Apr 16",2016-04-21,2016-04-22,65.45,P38_BIRD_Sharon.pdf,8
P38_BIRD_Sharon_8_32,BIRD_Sharon,P38_BIRD_Sharon,"Parking between 24 May and 25 May 16",2016-05-24,2016-05-25,65.45,P38_BIRD_Sharon.pdf,8
P38_BIRD_Sharon_8_33,BIRD_Sharon,P38_BIRD_Sharon,"Parking between 29 May and 30 May 16",2016-05-29,2016-05-30,65.45,P38_BIRD_Sharon.pdf,8
P38_BIRD_Sharon_9_3,BIRD_Sharon,P38_BIRD_Sharon,"Parking 1 Jun 16",2016-06-01,0000-00-00,38.18,P38_BIRD_Sharon.pdf,9
P38_BIRD_Sharon_9_4,BIRD_Sharon,P38_BIRD_Sharon,"Parking between 6 Jun and 9 Jun 16",2016-06-06,2016-06-09,107.27,P38_BIRD_Sharon.pdf,9
P38_BIRD_Sharon_9_5,BIRD_Sharon,P38_BIRD_Sharon,"Parking 11 Jun 16",2016-06-11,0000-00-00,38.18,P38_BIRD_Sharon.pdf,9
P38_BRIGGS_Jamie_8_7,BRIGGS_Jamie,P38_BRIGGS_Jamie,"Parking 9 May 16",2016-05-09,0000-00-00,13.11,P38_BRIGGS_Jamie.pdf,8
P38_BRIGGS_Jamie_8_8,BRIGGS_Jamie,P38_BRIGGS_Jamie,"Parking 4 Jun 16",2016-06-04,0000-00-00,12.17,P38_BRIGGS_Jamie.pdf,8
P38_BROUGH_Mal_11_10,BROUGH_Mal,P38_BROUGH_Mal,"Parking between 19 Apr and 26 Apr 16",2016-04-19,2016-04-26,153.18,P38_BROUGH_Mal.pdf,11
P38_BROUGH_Mal_11_3,BROUGH_Mal,P38_BROUGH_Mal,"Parking between 29 Jan and 6 Feb 16",2016-01-29,2016-02-06,147.27,P38_BROUGH_Mal.pdf,11
P38_BROUGH_Mal_11_4,BROUGH_Mal,P38_BROUGH_Mal,"Parking between 7 Feb and 10 Feb 16",2016-02-07,2016-02-10,81.82,P38_BROUGH_Mal.pdf,11
P38_BROUGH_Mal_11_5,BROUGH_Mal,P38_BROUGH_Mal,"Parking between 21 Feb and 25 Feb 16",2016-02-21,2016-02-25,160.91,P38_BROUGH_Mal.pdf,11
P38_BROUGH_Mal_11_6,BROUGH_Mal,P38_BROUGH_Mal,"Parking between 25 Feb and 29 Feb 16",2016-02-25,2016-02-29,105.45,P38_BROUGH_Mal.pdf,11
