entry_id,parl_id,source_id,details,origin,destination,date,amount,balance_of_payment,source_pdf,source_pagenum
P38_ALEXANDER_John_7_3,ALEXANDER_John,P38_ALEXANDER_John,"Sydney to Canberra 1 Feb 16",Sydney,Canberra,2016-02-01,114.30,,P38_ALEXANDER_John.pdf,7
P38_ALEXANDER_John_7_4,ALEXANDER_John,P38_ALEXANDER_John,"Canberra to Sydney 5 Feb 16",Canberra,Sydney,2016-02-05,114.30,,P38_ALEXANDER_John.pdf,7
P38_ALEXANDER_John_7_5,ALEXANDER_John,P38_ALEXANDER_John,"Sydney to Canberra 7 Feb 16",Sydney,Canberra,2016-02-07,114.30,,P38_ALEXANDER_John.pdf,7
P38_ALEXANDER_John_7_6,ALEXANDER_John,P38_ALEXANDER_John,"Canberra to Sydney 11 Feb 16",Canberra,Sydney,2016-02-11,114.30,,P38_ALEXANDER_John.pdf,7
P38_ALEXANDER_John_7_7,ALEXANDER_John,P38_ALEXANDER_John,"Sydney to Canberra 21 Feb 16",Sydney,Canberra,2016-02-21,114.30,,P38_ALEXANDER_John.pdf,7
P38_ALEXANDER_John_7_8,ALEXANDER_John,P38_ALEXANDER_John,"Canberra to Sydney 25 Feb 16",Canberra,Sydney,2016-02-25,114.30,,P38_ALEXANDER_John.pdf,7
P38_ALEXANDER_John_7_9,ALEXANDER_John,P38_ALEXANDER_John,"Sydney to Canberra 29 Feb 16",Sydney,Canberra,2016-02-29,114.30,,P38_ALEXANDER_John.pdf,7
P38_ALEXANDER_John_7_10,ALEXANDER_John,P38_ALEXANDER_John,"Canberra to Sydney 4 Mar 16",Canberra,Sydney,2016-03-04,92.55,,P38_ALEXANDER_John.pdf,7
P38_ALEXANDER_John_7_11,ALEXANDER_John,P38_ALEXANDER_John,"Sydney to Canberra 13 Mar 16",Sydney,Canberra,2016-03-13,92.55,,P38_ALEXANDER_John.pdf,7
P38_ALEXANDER_John_7_12,ALEXANDER_John,P38_ALEXANDER_John,"Canberra to Sydney 18 Mar 16",Canberra,Sydney,2016-03-18,92.55,,P38_ALEXANDER_John.pdf,7
P38_ALEXANDER_John_7_13,ALEXANDER_John,P38_ALEXANDER_John,"Sydney to Canberra 17 Apr 16",Sydney,Canberra,2016-04-17,92.55,,P38_ALEXANDER_John.pdf,7
P38_ALEXANDER_John_7_14,ALEXANDER_John,P38_ALEXANDER_John,"Canberra to Sydney 19 Apr 16",Canberra,Sydney,2016-04-19,92.55,,P38_ALEXANDER_John.pdf,7
P38_ALEXANDER_John_7_15,ALEXANDER_John,P38_ALEXANDER_John,"Sydney to Canberra 1 May 16",Sydney,Canberra,2016-05-01,92.55,,P38_ALEXANDER_John.pdf,7
P38_ALEXANDER_John_7_16,ALEXANDER_John,P38_ALEXANDER_John,"Canberra to Sydney 5 May 16",Canberra,Sydney,2016-05-05,92.55,,P38_ALEXANDER_John.pdf,7
P38_ALEXANDER_John_17_3,ALEXANDER_John,P38_ALEXANDER_John,"Sydney to Canberra 1 Mar 15",Sydney,Canberra,2015-03-01,3.70,Y,P38_ALEXANDER_John.pdf,17
P38_ALEXANDER_John_17_4,ALEXANDER_John,P38_ALEXANDER_John,"Canberra to Sydney 5 Mar 15",Canberra,Sydney,2015-03-05,3.70,Y,P38_ALEXANDER_John.pdf,17
P38_ALEXANDER_John_17_5,ALEXANDER_John,P38_ALEXANDER_John,"Sydney to Canberra 15 Mar 15",Sydney,Canberra,2015-03-15,3.70,Y,P38_ALEXANDER_John.pdf,17
P38_ALEXANDER_John_17_6,ALEXANDER_John,P38_ALEXANDER_John,"Canberra to Sydney 20 Mar 15",Canberra,Sydney,2015-03-20,3.70,Y,P38_ALEXANDER_John.pdf,17
P38_ALEXANDER_John_17_7,ALEXANDER_John,P38_ALEXANDER_John,"Sydney to Canberra 23 Mar 15",Sydney,Canberra,2015-03-23,3.70,Y,P38_ALEXANDER_John.pdf,17
P38_ALEXANDER_John_17_8,ALEXANDER_John,P38_ALEXANDER_John,"Canberra to Sydney 26 Mar 15",Canberra,Sydney,2015-03-26,3.70,Y,P38_ALEXANDER_John.pdf,17
P38_ALEXANDER_John_17_9,ALEXANDER_John,P38_ALEXANDER_John,"Sydney to Canberra 11 May 15",Sydney,Canberra,2015-05-11,3.70,Y,P38_ALEXANDER_John.pdf,17
P38_ALEXANDER_John_17_10,ALEXANDER_John,P38_ALEXANDER_John,"Canberra to Sydney 14 May 15",Canberra,Sydney,2015-05-14,3.70,Y,P38_ALEXANDER_John.pdf,17
P38_ALEXANDER_John_17_11,ALEXANDER_John,P38_ALEXANDER_John,"Sydney to Canberra 24 May 15",Sydney,Canberra,2015-05-24,3.70,Y,P38_ALEXANDER_John.pdf,17
P38_ALEXANDER_John_17_12,ALEXANDER_John,P38_ALEXANDER_John,"Canberra to Sydney 28 May 15",Canberra,Sydney,2015-05-28,3.70,Y,P38_ALEXANDER_John.pdf,17
P38_ALEXANDER_John_17_13,ALEXANDER_John,P38_ALEXANDER_John,"Sydney to Canberra 31 May 15",Sydney,Canberra,2015-05-31,3.70,Y,P38_ALEXANDER_John.pdf,17
P38_ALEXANDER_John_17_14,ALEXANDER_John,P38_ALEXANDER_John,"Canberra to Sydney 4 Jun 15",Canberra,Sydney,2015-06-04,3.70,Y,P38_ALEXANDER_John.pdf,17
P38_ALEXANDER_John_17_15,ALEXANDER_John,P38_ALEXANDER_John,"Sydney to Canberra 14 Jun 15",Sydney,Canberra,2015-06-14,3.70,Y,P38_ALEXANDER_John.pdf,17
P38_ALEXANDER_John_17_16,ALEXANDER_John,P38_ALEXANDER_John,"Canberra to Sydney 18 Jun 15",Canberra,Sydney,2015-06-18,3.70,Y,P38_ALEXANDER_John.pdf,17
P38_ALEXANDER_John_17_17,ALEXANDER_John,P38_ALEXANDER_John,"Sydney to Canberra 21 Jun 15",Sydney,Canberra,2015-06-21,3.70,Y,P38_ALEXANDER_John.pdf,17
P38_ALEXANDER_John_17_18,ALEXANDER_John,P38_ALEXANDER_John,"Canberra to Sydney 26 Jun 15",Canberra,Sydney,2015-06-26,3.70,Y,P38_ALEXANDER_John.pdf,17
P38_ALEXANDER_John_17_19,ALEXANDER_John,P38_ALEXANDER_John,"Sydney to Canberra 16 Aug 15",Sydney,Canberra,2015-08-16,3.70,Y,P38_ALEXANDER_John.pdf,17
P38_ALEXANDER_John_17_20,ALEXANDER_John,P38_ALEXANDER_John,"Canberra to Sydney 21 Aug 15",Canberra,Sydney,2015-08-21,3.70,Y,P38_ALEXANDER_John.pdf,17
P38_ALEXANDER_John_17_21,ALEXANDER_John,P38_ALEXANDER_John,"Sydney to Canberra 6 Sep 15",Sydney,Canberra,2015-09-06,3.70,Y,P38_ALEXANDER_John.pdf,17
P38_ALEXANDER_John_17_22,ALEXANDER_John,P38_ALEXANDER_John,"Canberra to Sydney 10 Sep 15",Canberra,Sydney,2015-09-10,3.70,Y,P38_ALEXANDER_John.pdf,17
P38_ALEXANDER_John_17_23,ALEXANDER_John,P38_ALEXANDER_John,"Sydney to Canberra 13 Sep 15",Sydney,Canberra,2015-09-13,3.70,Y,P38_ALEXANDER_John.pdf,17
P38_ALEXANDER_John_17_24,ALEXANDER_John,P38_ALEXANDER_John,"Canberra to Sydney 18 Sep 15",Canberra,Sydney,2015-09-18,3.70,Y,P38_ALEXANDER_John.pdf,17
P38_ALEXANDER_John_17_25,ALEXANDER_John,P38_ALEXANDER_John,"Sydney to Canberra 11 Oct 15",Sydney,Canberra,2015-10-11,3.70,Y,P38_ALEXANDER_John.pdf,17
P38_ALEXANDER_John_17_26,ALEXANDER_John,P38_ALEXANDER_John,"Canberra to Sydney 15 Oct 15",Canberra,Sydney,2015-10-15,3.70,Y,P38_ALEXANDER_John.pdf,17
P38_ALEXANDER_John_17_27,ALEXANDER_John,P38_ALEXANDER_John,"Sydney to Canberra 18 Oct 15",Sydney,Canberra,2015-10-18,3.70,Y,P38_ALEXANDER_John.pdf,17
P38_ALEXANDER_John_17_28,ALEXANDER_John,P38_ALEXANDER_John,"Canberra to Sydney 23 Oct 15",Canberra,Sydney,2015-10-23,3.70,Y,P38_ALEXANDER_John.pdf,17
P38_ALEXANDER_John_17_29,ALEXANDER_John,P38_ALEXANDER_John,"Sydney to Canberra 8 Nov 15",Sydney,Canberra,2015-11-08,3.70,Y,P38_ALEXANDER_John.pdf,17
P38_ALEXANDER_John_17_30,ALEXANDER_John,P38_ALEXANDER_John,"Canberra to Sydney 12 Nov 15",Canberra,Sydney,2015-11-12,3.70,Y,P38_ALEXANDER_John.pdf,17
P38_ALEXANDER_John_17_31,ALEXANDER_John,P38_ALEXANDER_John,"Sydney to Canberra 22 Nov 15",Sydney,Canberra,2015-11-22,3.70,Y,P38_ALEXANDER_John.pdf,17
