entry_id,parl_id,source_id,details,start_date,end_date,origin,destination,amount,superscript,adjustment,notes,linked_entry,source_pdf,source_pagenum
P38_BACK_Chris_20_3,BACK_Chris,P38_BACK_Chris,"Esperance 16 Oct 15 to 18 Oct 15",2015-10-16,2015-10-18,Esperance,,163.53,,,,,P38_BACK_Chris.pdf,20
P38_BACK_Chris_20_4,BACK_Chris,P38_BACK_Chris,"Geraldton 23 Oct 15 to 25 Oct 15",2015-10-23,2015-10-25,Geraldton,,166.64,,,,,P38_BACK_Chris.pdf,20
P38_BACK_Chris_20_5,BACK_Chris,P38_BACK_Chris,"Jandakot to Esperance 9 Dec 15",2015-12-09,0000-00-00,Jandakot,Esperance,3960.00,,,,,P38_BACK_Chris.pdf,20
P38_BACK_Chris_20_6,BACK_Chris,P38_BACK_Chris,"Esperance to Jandakot 9 Dec 15",2015-12-09,0000-00-00,Esperance,Jandakot,0.00,,,,P38_BACK_Chris_20_5,P38_BACK_Chris.pdf,20
P38_BACK_Chris_7_3,BACK_Chris,P38_BACK_Chris,"Esperance 19 May 16",2016-05-19,0000-00-00,Esperance,,367.80,,,,,P38_BACK_Chris.pdf,7
P38_BROAD_Andrew_19_3,BROAD_Andrew,P38_BROAD_Andrew,"Horsham to Birchip 6 Nov 15",2015-11-06,0000-00-00,Horsham,Birchip,1181.82,,,,,P38_BROAD_Andrew.pdf,19
P38_BROAD_Andrew_19_4,BROAD_Andrew,P38_BROAD_Andrew,"Birchip to Mildura 6 Nov 15",2015-11-06,0000-00-00,Birchip,Mildura,0.00,,,,P38_BROAD_Andrew_19_3,P38_BROAD_Andrew.pdf,19
P38_BROAD_Andrew_19_5,BROAD_Andrew,P38_BROAD_Andrew,"Mildura to Pinnaroo 15 Nov 15",2015-11-15,0000-00-00,Mildura,Pinnaroo,1240.91,,,,,P38_BROAD_Andrew.pdf,19
P38_BROAD_Andrew_19_6,BROAD_Andrew,P38_BROAD_Andrew,"Pinnaroo to Sea Lake 15 Nov 15",2015-11-15,0000-00-00,Pinnaroo,"Sea Lake",0.00,,,,P38_BROAD_Andrew_19_5,P38_BROAD_Andrew.pdf,19
P38_BROAD_Andrew_19_7,BROAD_Andrew,P38_BROAD_Andrew,"Sea Lake to Mildura 15 Nov 15",2015-11-15,0000-00-00,"Sea Lake",Mildura,0.00,,,,P38_BROAD_Andrew_19_5,P38_BROAD_Andrew.pdf,19
